month	ct_avg_前复权价格	人均持股
2017-05	1.89	1013	
2017-06	1.99	1802	
2017-09	2.04	1859	
2017-12	4	1480	
2018-02	3.07	1940	
2018-03	3.78	2080	
2018-04	3.89	2459	
2018-05	3.73	8008	
2018-06	3.73	8008	
2018-09	3.88	7709	
2018-10	3	7015	
2018-12	3.28	8136	
2019-01	2.92	8467	
2019-02	3.51	10059	
2019-03	4.9	10567	
2019-06	4.62	10182	
2019-09	10.25	8191	
2019-12	14.77	6041	
2020-03	15.48	5199	
2020-06	18.93	5127	
2020-09	18.1	10356	
2020-12	22.28	18751	
2021-03	25.98	17620	
2021-06	28.77	14330	
2021-09	24.01	11081	
2021-12	30.03	18770	
2022-03	21.66	13356	
2022-06	16.46	6604	
2022-09	11.59	7988	
2022-12	11.07	8006	
2023-03	11.68	8370	
2023-06	13.3	12050	
2023-09	12.59	14128	
2023-12	14.49	16507	
2024-03	13.03	14751	
2024-06	13.64	17153	
2024-09	11.86	12098	
