month	ct_avg_前复权价格	股东人数
2017-05	1.89	41080	
2017-06	1.99	23084	
2017-09	2.04	22374	
2017-12	4	28104	
2018-02	3.07	21451	
2018-03	3.78	20064.67	
2018-04	3.89	16915	
2018-05	3.73	17053	
2018-06	3.73	17053	
2018-09	3.88	17716	
2018-10	3	19468	
2018-12	3.28	16785	
2019-01	2.92	16598	
2019-02	3.51	14043.67	
2019-03	4.9	13299	
2019-06	4.62	13803	
2019-09	10.25	17157	
2019-12	14.77	23265	
2020-03	15.48	30076	
2020-06	18.93	30499	
2020-09	18.1	73672	
2020-12	22.28	41835	
2021-03	25.98	44551	
2021-06	28.77	54813	
2021-09	24.01	70882	
2021-12	30.03	42090	
2022-03	21.66	59239	
2022-06	16.46	119819	
2022-09	11.59	147433	
2022-12	11.07	147357	
2023-03	11.68	141027	
2023-06	13.3	98022	
2023-09	12.59	83698	
2023-12	14.49	73569	
2024-03	13.03	82326	
2024-06	13.64	70798	
2024-09	11.86	100386	
