month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2022-03	56.42	-61.31	
2022-04	48.94	-70.58	
2022-05	50.16	-73.12	
2022-06	57.91	-53.91	
2022-07	53.86	-65.6	
2022-08	54.76	-58.66	
2022-09	49.9	-81.25	
2022-10	48.22	-83.54	
2022-11	52.71	-60.63	
2022-12	54.42	-25.16	
2023-01	54.35	-13	
2023-02	55.84	12.01	
2023-03	59.13	39.36	
2023-04	60.68	58.74	
2023-05	58.64	50.13	
2023-06	53.67	5.13	
2023-07	54.35	-10.37	
2023-08	55.53	-11.49	
2023-09	55.71	-2.99	
2023-10	53.13	-46.8	
2023-11	52.27	-62.78	
2023-12	45.24	-79.63	
2024-01	40.99	-94.07	
2024-02	39.86	-92.09	
2024-03	41.18	-84.27	
2024-04	38.49	-95.27	
2024-05	37.99	-92.99	
2024-06	38.69	-80.31	
2024-07	38.13	-81.83	
2024-08	36.5	-86.04	
2024-09	36.14	-91.45	
2024-10	52.21	1.89	
2024-11	51.91	40.01	
2024-12	48.42	39.45	
2025-01	45.95	34.72	
2025-02	45.59	32.14	
