month	ct_avg_Tdx收盘价	人均持股
2011-11	34.44	914	
2011-12	31.57	4558	
2012-01	25.02	4792	
2012-03	25.96	3083	
2012-06	11.55	6622	
2012-09	8.8	6211	
2012-12	8.02	12182	
2013-03	10.56	13444	
2013-06	14.94	15230	
2013-09	24.46	20361	
2013-12	28.86	23595	
2014-03	32.18	14797	
2014-06	14.95	19595	
2014-09	19	18206	
2014-12	16.85	18850	
2015-03	25.15	47354	
2015-06	40.84	14754	
2015-09	21.38	16780	
2015-12	26.66	13554	
2016-03	19.95	13529	
2016-06	23.76	13120	
2016-09	15.72	21828	
2016-12	10.61	20507	
2017-03	10.44	20885.5	
2017-06	10.61	21015	
2017-08	12.46	30274.5	
2017-09	15	32140	
2017-10	16.97	34940	
2017-12	17.82	28928	
2018-01	17.38	28466.5	
2018-02	15.35	29055	
2018-03	17.75	28713	
2018-04	18.01	29160.5	
2018-05	17.16	26356	
2018-06	9.75	19957.5	
2018-07	8.14	19493	
2018-08	7.04	18327	
2018-09	6.83	17802	
2018-12	9.33	21875	
2019-03	11.65	20833	
2019-06	9.15	23898.67	
2019-09	12.13	27757	
2019-11	10.02	24876	
2019-12	10.89	25997	
2020-03	10.93	20544	
2020-04	9.93	21100	
2020-05	10.94	22762.5	
2020-06	12.41	29080	
2020-09	24.84	21708	
2020-11	46.26	20937	
2020-12	60.12	13229	
2021-01	89.99	10407	
2021-03	71.9	7058	
2021-06	97.97	10012	
2021-09	138.22	8808	
2021-12	145.55	8124	
2022-03	117.74	7819	
2022-06	91.43	7322	
2022-09	115.11	8956	
2022-12	103.94	8277	
2023-03	107.42	7897	
2023-06	109.67	10511	
2023-09	90.86	8161	
2023-12	80.86	8871	
2024-03	101.32	10455	
2024-06	78.69	14070	
2024-09	78.84	14501	
