month	ct_avg_Tdx收盘价	股东人数
1998-12	8.36	55777	
1999-12	13.42	13898	
2000-12	25.27	9404	
2001-12	9.54	53332	
2002-06	9.5	44980	
2002-09	7.69	48473	
2002-12	6.6	46927	
2003-03	7.25	44195	
2003-06	9	38964	
2003-09	8.19	37575	
2003-12	7.62	41492	
2004-03	9.9	60319	
2004-06	8.65	60294	
2004-09	9	51013	
2004-12	8.87	55160	
2005-03	7.42	53313	
2005-06	4.97	55994	
2005-09	5.07	53080	
2005-12	6.14	41411	
2006-03	6.64	41806	
2006-06	9.65	37090	
2006-09	10.08	53695	
2006-12	8.03	69819	
2007-03	11	91456	
2007-06	14.01	83165	
2007-09	15.83	99696	
2007-12	15.1	98098	
2008-03	11.87	122126	
2008-06	6.91	123144	
2008-09	5.08	120366	
2008-12	4.75	121051	
2009-03	6.07	110799	
2009-06	7.08	109376	
2009-09	9.03	93622	
2009-12	10.07	91730	
2010-03	11.21	101169	
2010-06	9.1	110798	
2010-09	10.34	112420	
2010-12	11.57	108352	
2011-03	11.47	110302	
2011-06	9.09	114827	
2011-09	8.79	111110	
2011-12	7.54	109210	
2012-03	8.07	104116	
2012-06	5.42	103147	
2012-09	4.48	103436	
2012-12	4	101104	
2013-03	4.62	98900	
2013-06	4.8	97489	
2013-09	5.11	93990	
2013-12	5.06	93128	
2014-03	5.66	92431	
2014-06	5.61	85303	
2014-09	7.21	80204	
2014-12	7.5	75709	
2015-03	8.44	78604	
2015-06	12.54	87404	
2015-09	7.8	86126	
2015-12	9.8	74767	
2016-03	8.04	69709	
2016-06	9.1	67904	
2016-09	12.75	60115	
2016-12	11.22	67762	
2017-02	12.24	59998	
2017-03	13.15	54772	
2017-06	11.41	59902	
2017-09	15.08	55847	
2017-12	15.41	48501	
2018-03	17.12	51467	
2018-06	8.96	66452	
2018-09	10.43	60126	
2018-12	9.45	57087	
2019-03	12.1	58085	
2019-06	14.13	57985	
2019-09	26.98	98747	
2019-12	22.64	124219	
2020-03	30.13	99452	
2020-06	28.45	120966	
2020-09	23.68	181761	
2020-12	27.71	133419	
2021-03	24.08	149219	
2021-06	22.64	146552	
2021-09	22.75	155465	
2021-12	23.09	145094	
2022-03	17.54	153605	
2022-06	16.6	150735	
2022-09	14.59	148078	
2022-12	14.95	135881	
2023-03	18.37	114218	
2023-06	14.8	130546	
2023-09	15.25	116204	
2023-12	17.57	104808	
2024-03	17.72	100354	
2024-06	20.49	89860	
2024-09	17.55	96084	
