month	ct_avg_前复权价格	股东人数
1998-12	1.13	55777	
1999-12	1.84	13898	
2000-12	5.23	9404	
2001-12	2	53332	
2002-06	1.98	44980	
2002-09	2.1	48473	
2002-12	1.8	46927	
2003-03	1.98	44195	
2003-06	2.48	38964	
2003-09	2.26	37575	
2003-12	2.1	41492	
2004-03	2.73	60319	
2004-06	2.41	60294	
2004-09	2.52	51013	
2004-12	2.48	55160	
2005-03	2.08	53313	
2005-06	1.4	55994	
2005-09	1.48	53080	
2005-12	1.81	41411	
2006-03	2.53	41806	
2006-06	3.75	37090	
2006-09	4.32	53695	
2006-12	4.77	69819	
2007-03	6.54	91456	
2007-06	8.37	83165	
2007-09	9.47	99696	
2007-12	9.04	98098	
2008-03	7.11	122126	
2008-06	4.17	123144	
2008-09	3.09	120366	
2008-12	2.89	121051	
2009-03	3.7	110799	
2009-06	4.34	109376	
2009-09	5.65	93622	
2009-12	6.27	91730	
2010-03	6.97	101169	
2010-06	5.73	110798	
2010-09	6.5	112420	
2010-12	7.29	108352	
2011-03	7.23	110302	
2011-06	5.88	114827	
2011-09	5.68	111110	
2011-12	4.87	109210	
2012-03	5.21	104116	
2012-06	4.74	103147	
2012-09	3.92	103436	
2012-12	3.5	101104	
2013-03	4.04	98900	
2013-06	4.2	97489	
2013-09	4.61	93990	
2013-12	4.56	93128	
2014-03	5.1	92431	
2014-06	5.43	85303	
2014-09	6.98	80204	
2014-12	7.25	75709	
2015-03	8.16	78604	
2015-06	12.39	87404	
2015-09	7.7	86126	
2015-12	9.68	74767	
2016-03	7.94	69709	
2016-06	9.26	67904	
2016-09	12.99	60115	
2016-12	11.44	67762	
2017-02	12.48	59998	
2017-03	13.41	54772	
2017-06	11.87	59902	
2017-09	15.83	55847	
2017-12	16.18	48501	
2018-03	17.97	51467	
2018-06	14.08	66452	
2018-09	16.39	60126	
2018-12	14.85	57087	
2019-03	19.01	58085	
2019-06	22.72	57985	
2019-09	43.56	98747	
2019-12	36.55	124219	
2020-03	48.65	99452	
2020-06	46.62	120966	
2020-09	38.8	181761	
2020-12	45.41	133419	
2021-03	39.45	149219	
2021-06	37.75	146552	
2021-09	37.94	155465	
2021-12	38.49	145094	
2022-03	28.79	153605	
2022-06	28.73	150735	
2022-09	25.26	148078	
2022-12	25.87	135881	
2023-03	31.79	114218	
2023-06	26.41	130546	
2023-09	27.21	116204	
2023-12	31.34	104808	
2024-03	31.61	100354	
2024-06	37.39	89860	
2024-09	32.02	96084	
