month	ct_avg_Tdx收盘价	人均持股
1994-12	3.25	3148	
1995-12	3.88	2608	
1996-12	6.31	2047	
1997-12	11.51	1727	
1998-12	15.63	4613	
1999-12	9.34	6625	
2000-12	14.15	8052	
2001-12	10.71	2032	
2002-03	9.86	2066	
2002-06	10	2033	
2002-09	9.93	2062	
2002-12	8.65	2152	
2003-03	9.21	2101	
2003-06	7.93	2268	
2003-09	6.55	2345	
2003-12	5.67	2371	
2004-03	6.84	2378	
2004-06	6.84	2658	
2004-09	6.28	2831	
2004-12	6.35	2838	
2005-03	5.38	2630	
2005-06	4.15	2607	
2005-09	4.48	2681	
2005-12	4.14	2669	
2006-03	5.11	0	
2006-06	4.84	5400	
2006-09	3.74	4756	
2006-12	3.65	5046	
2007-03	6.04	5653	
2007-06	7.72	3977	
2007-09	8.2	4010	
2008-03	14.65	7005	
2008-06	8.28	5393	
2008-09	7.1	5676	
2008-12	5.72	4505	
2009-03	7.65	5200	
2009-06	9.22	5313	
2009-09	9.7	8253	
2009-12	11.4	8411	
2010-03	10.29	7634	
2010-06	12.3	9717	
2010-09	13.67	9401	
2010-12	12.78	8991	
2011-03	14.16	10284	
2011-06	12.96	11108	
2011-09	10.91	10306	
2012-03	12.34	9397	
2012-06	10.37	9264	
2012-09	8.94	9025	
2012-12	8.89	8435	
2013-03	10.87	7561	
2013-06	9.02	8125	
2013-09	10.42	8107	
2013-12	12.57	8244	
2014-03	12.14	7643	
2014-06	11.65	8415	
2014-09	13.3	20832	
2014-12	12.63	16754	
2015-03	17.75	27500	
2015-06	22.6	27376	
2015-09	11.42	23740	
2015-12	15.27	20988	
2016-03	11.18	22994	
2016-06	12.13	21651	
2016-09	10.76	40774	
2016-12	13.81	54430	
2017-02	14.32	49863	
2017-03	14.11	49979	
2017-06	13.97	26204	
2017-09	13.76	28324	
2017-12	16.08	31673	
2018-03	11.99	38081	
2018-05	13.01	41140	
2018-06	11.73	42253	
2018-09	13.88	41845	
2018-12	10.5	30746	
2019-03	11.79	28484	
2019-06	10.31	28012	
2019-08	9.13	28574	
2019-09	10.92	28290	
2019-12	10.37	30210	
2020-03	9.25	30759	
2020-05	9.6	35607	
2020-06	10.46	41234	
2020-09	12.22	50188	
2020-12	13.78	56686	
2021-02	16.46	53300	
2021-03	16.14	61948	
2021-06	16.78	64315	
2021-09	20.15	36524	
2021-10	17.57	34640	
2021-12	18.83	43700	
2022-03	17.11	49949	
2022-06	18.56	63596	
2022-09	19.37	68180	
2022-12	16.94	61103	
2023-03	19.15	79834	
2023-06	19	77678	
2023-09	17.33	141624	
2023-12	15.94	131478	
2024-03	19.13	155277	
2024-06	20.47	166512	
2024-09	18.23	137577	
