month	ct_avg_前复权价格	人均持股
1994-12	0.49	3148	
1995-12	0.58	2608	
1996-12	1.14	2047	
1997-12	2.07	1727	
1998-12	2.81	4613	
1999-12	2.52	6625	
2000-12	3.87	8052	
2001-12	2.95	2032	
2002-03	2.72	2066	
2002-06	2.76	2033	
2002-09	2.77	2062	
2002-12	2.42	2152	
2003-03	2.57	2101	
2003-06	2.21	2268	
2003-09	1.83	2345	
2003-12	1.58	2371	
2004-03	1.91	2378	
2004-06	1.89	2658	
2004-09	1.75	2831	
2004-12	1.77	2838	
2005-03	1.5	2630	
2005-06	1.16	2607	
2005-09	1.25	2681	
2005-12	1.15	2669	
2006-03	1.42	0	
2006-06	2.57	5400	
2006-09	2.61	4756	
2006-12	2.55	5046	
2007-03	4.21	5653	
2007-06	5.39	3977	
2007-09	5.72	4010	
2007-12	5.5	4204	
2008-03	10.17	7005	
2008-06	5.76	5393	
2008-09	5.14	5676	
2008-12	3.98	4505	
2009-03	5.27	5200	
2009-06	6.41	5313	
2009-09	6.75	8253	
2009-12	7.94	8411	
2010-03	7.17	7634	
2010-06	8.58	9717	
2010-09	9.52	9401	
2010-12	8.91	8991	
2011-03	9.87	10284	
2011-06	9.03	11108	
2011-09	7.6	10306	
2011-12	7.52	10283	
2012-01	7.52	10283	
2012-03	8.6	9397	
2012-06	7.2	9264	
2012-09	6.23	9025	
2012-12	5.38	8435	
2013-03	7.57	7561	
2013-06	6.29	8125	
2013-09	7.26	8107	
2013-12	8.76	8244	
2014-03	8.46	7643	
2014-06	8.12	8415	
2014-09	9.27	20832	
2014-12	8.82	16754	
2015-03	12.4	27500	
2015-06	15.79	27376	
2015-09	8.07	23740	
2015-12	10.79	20988	
2016-03	8.34	22994	
2016-06	8.57	21651	
2016-09	7.67	40774	
2016-12	9.84	54430	
2017-02	10.21	49863	
2017-03	10.06	49979	
2017-06	9.96	26204	
2017-09	9.88	28324	
2017-12	11.54	31673	
2018-03	9.27	38081	
2018-05	10.12	41140	
2018-06	9.07	42253	
2018-09	10.82	41845	
2018-12	8.18	30746	
2019-03	9.19	28484	
2019-06	8.04	28012	
2019-08	7.25	28574	
2019-09	8.28	28290	
2019-12	8.27	30210	
2020-03	7.37	30759	
2020-05	7.66	35607	
2020-06	8.49	41234	
2020-09	9.94	50188	
2020-12	11.21	56686	
2021-02	13.39	53300	
2021-03	13.13	61948	
2021-06	13.66	64315	
2021-09	16.55	36524	
2021-10	14.47	34640	
2021-12	15.47	43700	
2022-03	13.54	49949	
2022-06	15.25	63596	
2022-09	16.21	68180	
2022-12	14.18	61103	
2023-03	16.03	79834	
2023-06	15.9	77678	
2023-09	14.89	141624	
2023-12	13.7	131478	
2024-03	16.44	155277	
2024-06	17.59	166512	
2024-09	16.45	137577	
