month	ct_avg_前复权价格	股东人数
2015-01	1.43	106712	
2015-03	2.51	34138	
2015-06	5.33	21695	
2015-09	2.94	31693	
2015-12	6.48	102655	
2016-03	4.15	100569	
2016-06	3.76	91502	
2016-09	3.52	84442	
2016-12	3.08	89288	
2017-03	3.02	77447	
2017-06	3.13	75194	
2017-09	3.58	92814	
2017-12	2.92	89797	
2018-03	3.57	76916	
2018-06	2.64	84030	
2018-09	1.94	82536	
2018-12	1.84	78987	
2019-03	2.13	77629	
2019-06	1.8	78190	
2019-09	1.8	78223	
2019-12	2.16	75471	
2020-03	2.77	71955	
2020-06	3.11	80897	
2020-09	3.79	106271	
2020-12	2.86	104122	
2021-03	3.31	116225	
2021-06	2.46	105285	
2021-09	2.49	92636	
2021-12	3.02	86923	
2022-03	2.31	94013	
2022-06	2.12	92896	
2022-09	1.86	88500	
2022-12	1.95	87392	
2023-03	4.18	89201	
2023-06	7.35	158748	
2023-09	4.72	161478	
2023-12	5.34	139139	
2024-03	5.72	133349	
2024-06	4.61	138696	
2024-09	3.88	130269	
