month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2010-06	31.5	86.79	
2010-07	28.23	59.65	
2010-08	30.28	82.99	
2010-09	36.96	95.35	
2010-10	38.06	93.58	
2010-11	46.89	97.19	
2010-12	53.39	97.36	
2011-01	47.91	80.62	
2011-02	47.15	75.83	
2011-03	48.48	73.45	
2011-04	44.63	43.8	
2011-05	41.81	15.54	
2011-06	24.25	-27.76	
2011-07	26.73	-39.46	
2011-08	26.88	-51.94	
2011-09	24.81	-75.72	
2011-10	24.63	-78.8	
2011-11	26.7	-56.17	
2011-12	24.35	-79.22	
2012-01	22.33	-92.26	
2012-02	25.45	-67.28	
2012-03	26.31	-30.95	
2012-04	26.38	-15.91	
2012-05	29.24	11.01	
2012-06	33.16	48.66	
2012-07	36.02	65.26	
2012-08	38.48	81.87	
2012-09	37.68	76.79	
2012-10	38.23	79.51	
2012-11	35.43	48.5	
2012-12	36.81	52.55	
2013-01	37.05	56.65	
2013-02	37.31	53.21	
2013-03	45.48	88.73	
2013-04	48.63	95.78	
2013-05	52.14	88.96	
2013-06	36.18	35.87	
2013-07	37.2	15.1	
2013-08	41.66	23.21	
2013-09	40.75	17.29	
2013-10	38.24	-14.04	
2013-11	36.43	-33.55	
2013-12	35.98	-44.08	
2014-01	33.18	-62.29	
2014-02	29.95	-83.32	
2014-03	26.1	-91.41	
2014-04	28.26	-80.19	
2014-05	27.6	-84.2	
2014-06	26.9	-89.06	
2014-07	25.24	-94.37	
2014-08	26.79	-71.22	
2014-09	27.73	-49.23	
2014-10	27.28	-43.08	
2014-11	26.38	-58.44	
2014-12	25.93	-69.64	
2015-01	28.52	-36.12	
2015-02	28.97	17.74	
2015-03	31.12	45.17	
2015-04	34.07	65.57	
2015-05	36.15	81.92	
2015-06	40.11	84.95	
2015-07	31.67	53.68	
2015-08	28.28	17.98	
2015-09	23.09	-25.4	
2015-10	25.87	-26.21	
2015-11	30.18	-14.33	
2015-12	33.56	32.92	
2016-01	28.23	3.93	
2016-02	29.13	-14.94	
2016-03	24.62	-60.25	
2016-04	27.44	-51.74	
2016-05	27.71	-46.13	
2016-06	28.59	-29.78	
2016-07	27.63	-35.25	
2016-08	27.57	-45.03	
2016-09	29.93	29.51	
2016-10	31.13	59.1	
2016-11	29.42	40.87	
2016-12	27.16	-16.52	
2017-01	27.27	-35.52	
2017-02	29.33	1.24	
2017-03	32.47	61.37	
2017-04	32.33	74.95	
2017-05	17.42	-24.15	
2017-06	18.84	-73.78	
2017-07	18.65	-86.35	
2017-08	20.11	-69.56	
2017-09	20.86	-61.99	
2017-10	20.89	-50.68	
2017-11	21.21	-37.7	
2017-12	17.71	-72.83	
2018-01	16.29	-86.32	
2018-02	13.9	-91.07	
2018-03	14.79	-86.28	
2018-04	12.86	-97.12	
2018-05	11.7	-93.79	
2018-06	10.88	-95.04	
2018-07	9.83	-93.95	
2018-08	8.63	-96.93	
2018-09	8.5	-94.17	
2018-10	7.25	-98.16	
2018-11	7.44	-89.94	
2018-12	7.15	-96.03	
2019-01	6.93	-93.99	
2019-02	8.18	-63.75	
2019-03	9.83	-13.35	
2019-04	10.35	14.46	
2019-05	8.44	-7.46	
2019-06	8.12	-35.29	
2019-07	10.25	26.13	
2019-08	12.41	59.42	
2019-09	15.76	83.75	
2019-10	18.06	89.19	
2019-11	19.86	91.88	
2019-12	20.51	93.18	
2020-01	21.75	94.92	
2020-02	23.39	96.65	
2020-03	18.77	65.75	
2020-04	18.21	40.43	
2020-05	21	61.16	
2020-06	24.94	82.86	
2020-07	33.27	94.25	
2020-08	40.83	97.83	
2020-09	40.76	89	
2020-10	43.35	95.87	
2020-11	41.99	84.61	
2020-12	37.87	57.84	
2021-01	39.96	61.65	
2021-02	33.34	20.3	
2021-03	29.05	-10.75	
2021-04	32.25	-13.95	
2021-05	37.21	11.8	
2021-06	40.18	42.01	
2021-07	40.32	47	
2021-08	41.62	51.54	
2021-09	46.07	63.57	
2021-10	41.56	47.99	
2021-11	49.74	76.95	
2021-12	53.97	90.37	
2022-01	50.45	78.76	
2022-02	43.81	44.7	
2022-03	38	11.49	
2022-04	31.97	-20.21	
2022-05	36.23	-26.98	
2022-06	36.93	-38.44	
2022-07	32.06	-67.64	
2022-08	34.32	-64.13	
2022-09	30.65	-82.02	
2022-10	24.8	-94.87	
2022-11	19.79	-98.29	
2022-12	17.6	-98.17	
2023-01	18.51	-85.27	
2023-02	21.71	-67.14	
2023-03	20.9	-62.77	
2023-04	20.85	-51.74	
2023-05	18.24	-77.14	
2023-06	18.23	-79.6	
2023-07	18.15	-83.33	
2023-08	16.46	-92.82	
2023-09	15.56	-89.96	
2023-10	17.55	-66.86	
2023-11	18.58	-34.86	
2023-12	18.52	-22.19	
2024-01	18.25	-6.98	
2024-02	15.81	-57.4	
2024-03	17.32	-45.79	
2024-04	15.5	-78.66	
2024-05	16.65	-68.39	
2024-06	17.94	-26.03	
2024-07	21.39	35.75	
2024-08	20.33	61.85	
2024-09	19.33	51.79	
2024-10	23.06	82.79	
2024-11	24.44	94.47	
2024-12	26.58	97.44	
2025-01	25.57	84.87	
