month	ct_avg_前复权价格	人均持股
2000-12	0.95	1362	
2001-12	1	2445	
2002-09	1.01	2955	
2002-12	0.83	2932	
2003-03	0.87	2903	
2003-06	1.14	2543	
2003-09	0.91	2646	
2003-12	1	3316	
2004-03	1.16	3657	
2004-06	0.97	4816	
2004-12	0.83	4959	
2005-09	1.01	7345	
2005-12	1.08	10508	
2006-12	3.26	33945	
2007-03	4.38	15794	
2007-06	5.02	11466	
2007-09	7.15	7252	
2007-12	6.69	10682	
2008-03	5.48	11313	
2008-06	3.65	15371	
2008-09	3.06	15320	
2008-12	2.48	15209	
2009-03	2.84	16450	
2009-06	4.51	19298	
2009-09	3.95	17300	
2023-09	6.62	465732	
2023-12	6.58	467905	
2024-03	6.96	470020	
2024-06	6.54	472449	
2024-09	6.39	475690	
