month	ct_avg_前复权价格	股东人数
2000-12	0.95	257030	
2001-12	1	186115	
2002-09	1.01	177088	
2002-12	0.83	178475	
2003-03	0.87	180232	
2003-06	1.14	267481	
2003-09	0.91	267673	
2003-12	1	284316	
2004-03	1.16	312652	
2004-06	0.97	323930	
2004-12	0.83	315174	
2005-09	1.01	263978	
2005-12	1.08	277224	
2006-12	3.26	180102	
2007-03	4.38	387092	
2007-06	5.02	638095	
2007-09	7.15	1008851	
2007-12	6.69	1132682	
2008-03	5.48	1069520	
2008-06	3.65	1161141	
2008-09	3.06	1168048	
2008-12	2.48	1176563	
2009-03	2.84	1087816	
2009-06	4.51	927285	
2009-09	3.95	1088025	
2023-09	6.62	17865	
2023-12	6.58	17782	
2024-03	6.96	17702	
2024-06	6.54	17611	
2024-09	6.39	17491	
