month	ct_avg_Tdx收盘价	股东人数
2019-06	76.67	50007.5	
2019-07	198.72	17363.33	
2019-08	275.97	12869	
2019-09	348.65	13520.33	
2019-10	365.98	14728	
2019-11	417.5	15387	
2019-12	433.13	15588	
2020-01	427.42	15892	
2020-02	504.39	15337	
2020-03	499.01	19135.33	
2020-04	519.37	20611.67	
2020-05	614.54	22175.33	
2020-06	600.34	26164.67	
2020-07	444.55	42769.33	
2020-08	409.29	47497.33	
2020-09	372.68	45951.33	
2020-10	417.72	37942.5	
2020-11	524.18	30558	
2020-12	570.28	26792.33	
2021-01	651.57	27086	
2021-02	630.57	27262	
2021-03	594.86	24366	
2021-04	704.83	25885	
2021-05	393.34	38061	
2021-06	467.99	40192.33	
2021-07	451.25	56008	
2021-08	411.78	60209.67	
2021-09	352.49	62557	
2021-10	314.36	65527	
2021-11	321.68	68687.33	
2021-12	351.1	58181.33	
2022-01	292.63	61114.67	
2022-02	259.57	63943.67	
2022-03	234.3	64718.67	
2022-04	191.99	60720.67	
2022-05	189.66	58372.33	
2022-06	197.07	62679	
2022-07	113.57	79425	
2022-08	99.58	79608.33	
2022-09	96.47	79988.67	
2022-10	85.5	78343.33	
2022-11	109.99	72524.33	
2022-12	115.28	68101	
2023-01	126.73	64945.67	
2023-02	127.5	65665.67	
2023-03	120.95	68759	
2023-04	121.16	67928	
2023-05	95.19	67661.67	
2023-06	101.89	63599.33	
2023-07	113.62	56500.33	
2023-08	119.32	52475	
2023-09	122.48	53123.33	
2023-10	125.48	53116.67	
2023-11	140.54	53576	
2023-12	138.95	49736.75	
2024-01	115.18	50383	
2024-02	96.37	52210	
2024-03	108.23	54360	
2024-04	92.43	58628	
2024-05	88.09	66183.33	
2024-06	86.97	71745.75	
2024-07	75.13	73152.5	
2024-08	68.83	70207.67	
2024-09	65.13	70514.33	
2024-10	102.73	89380.5	
2024-11	96.71	85306	
2024-12	96.92	80765.67	
2025-01	80.64	82340	
