month	ct_avg_前复权价格	人均持股
2017-12	1.89	699	
2018-03	2.68	1348	
2018-06	2.36	1458	
2018-09	2.69	2054	
2018-12	2.83	2878	
2019-02	3.87	3065	
2019-03	4.33	3365	
2019-06	3.83	3041	
2019-09	6.6	2912	
2019-12	6.4	2486	
2020-03	9.73	2328	
2020-06	9.79	2224	
2020-09	7.58	1503	
2020-12	6.74	4772	
2021-02	6.85	4988	
2021-03	6.16	4919	
2021-06	5.94	5535	
2021-09	5.81	6803	
2021-12	6.87	8637	
2022-03	6.2	8835	
2022-06	5.89	8363	
2022-09	5.08	7623	
2022-12	4.69	7212	
2023-03	5.38	8323	
2023-06	4.9	7502	
2023-09	4.27	7389	
2023-12	4.48	8287	
2024-03	5.45	9354	
2024-06	6.57	10149	
2024-09	6.08	9489	
