month	ct_avg_前复权价格	股东人数
2017-12	1.89	106412	
2018-03	2.68	51948	
2018-06	2.36	48023	
2018-09	2.69	34074	
2018-12	2.83	28548	
2019-02	3.87	26811	
2019-03	4.33	24420	
2019-06	3.83	32467	
2019-09	6.6	33899	
2019-12	6.4	39703	
2020-03	9.73	42409	
2020-06	9.79	63358	
2020-09	7.58	101933	
2020-12	6.74	100868	
2021-02	6.85	96960	
2021-03	6.16	98311	
2021-06	5.94	87340	
2021-09	5.81	71053	
2021-12	6.87	56089	
2022-03	6.2	54984	
2022-06	5.89	58091	
2022-09	5.08	66657	
2022-12	4.69	70453	
2023-03	5.38	61225	
2023-06	4.9	67881	
2023-09	4.27	69110	
2023-12	4.48	61645	
2024-03	5.45	54609	
2024-06	6.57	50331	
2024-09	6.08	53834	
