month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2020-06	1.68	-0.07	
2020-07	1.75	-0.03	
2020-08	1.92	0.05	
2020-09	1.84	0.01	
2020-10	2.03	0.1	
2020-11	2.45	0.32	
2020-12	2.45	0.3	
2021-01	2.19	0.16	
2021-02	1.97	0.03	
2021-03	1.93	0.01	
2021-04	1.98	0.03	
2021-05	2.15	0.1	
2021-06	2.23	0.14	
2021-07	2.63	0.33	
2021-08	2.84	0.42	
2021-09	3.29	0.62	
2021-10	3.18	0.55	
2021-11	3.13	0.51	
2021-12	2.94	0.41	
2022-01	2.7	0.28	
2022-02	2.43	0.14	
2022-03	2.14	0	
2022-04	2.14	0	
2022-05	2.49	0.15	
2022-06	3.08	0.41	
2022-07	2.9	0.31	
2022-08	2.76	0.24	
2022-09	2.49	0.11	
2022-10	2.29	0.01	
2022-11	2.24	-0.01	
2022-12	2.2	-0.04	
2023-01	2.13	-0.07	
2023-02	2.18	-0.06	
2023-03	2.09	-0.1	
2023-04	2.03	-0.13	
2023-05	1.96	-0.16	
2023-06	1.96	-0.17	
2023-07	2.09	-0.11	
2023-08	2.07	-0.13	
2023-09	1.95	-0.18	
2023-10	1.94	-0.18	
2023-11	1.92	-0.19	
2023-12	1.73	-0.27	
2024-01	1.61	-0.32	
2024-02	1.64	-0.31	
2024-03	1.7	-0.28	
2024-04	1.68	-0.28	
2024-05	1.65	-0.29	
2024-06	1.61	-0.31	
2024-07	1.52	-0.34	
2024-08	1.47	-0.36	
2024-09	1.46	-0.36	
2024-10	1.61	-0.29	
2024-11	1.69	-0.26	
2024-12	1.88	-0.17	
2025-01	1.66	-0.26	
2025-02	1.71	-0.24	
