month	ct_avg_前复权价格	人均持股
2018-06	1.65	954	
2018-09	1.82	2176	
2018-12	2.18	2633	
2019-03	2.43	2857	
2019-06	1.91	14868	
2019-09	2.04	12748	
2019-12	2.63	15677	
2020-03	3.53	7972	
2020-06	4.42	10080	
2020-09	5.46	9415	
2020-12	7.97	9279	
2021-03	8.87	7424	
2021-06	12.42	15013	
2021-09	14	15178	
2021-12	17.42	14360	
2022-03	13.81	14468	
2022-06	13.48	13559	
2022-09	12.06	10684	
2022-12	11.28	10816	
2023-03	11.01	10156	
2023-06	11.13	17856	
2023-09	10.93	16690	
2023-12	7.97	14923	
2024-03	9.05	15563	
2024-06	9.82	16411	
2024-09	10	17034	
