month	ct_avg_Tdx收盘价	人均持股
2010-11	65.82	0	
2010-12	62.88	1856	
2011-03	72.77	1768	
2011-06	29.15	2843	
2011-09	25.93	2988	
2011-12	18.8	3101	
2012-01	18.57	3080	
2012-03	20.19	3064	
2012-06	16.53	3329	
2012-09	12.77	3439	
2012-12	10.31	3522	
2013-03	11.43	3474	
2013-06	8.68	3766	
2013-09	8.84	3761	
2013-12	8.35	36860	
2014-03	9.27	37259	
2014-06	8.25	38245	
2014-09	12.28	38075	
2014-12	11.83	44034	
2015-03	18.31	50469	
2015-06	28.82	57971	
2015-09	12.41	111894	
2015-12	14.1	117819	
2016-03	13.43	112005	
2016-06	11.78	114080	
2016-09	13.22	126900	
2016-12	15.26	127576	
2017-03	15.33	157527	
2017-06	9.38	189867	
2017-09	10.06	170947	
2017-12	13.96	163550	
2018-03	15.86	169808	
2018-06	10.33	260022	
2018-09	11.06	262688	
2018-12	10.1	287871	
2019-03	11.67	343041	
2019-06	11.73	328371	
2019-09	11.09	354842	
2019-12	12.3	418013	
2020-03	10.76	379526	
2020-06	12.07	414794	
2020-09	18.85	267943	
2020-12	25.68	274973	
2021-03	29.47	107111	
2021-06	17.31	120695	
2021-09	20.52	96979	
2021-12	17.58	108733	
2022-03	15.11	112963	
2022-06	15.85	132495	
2022-09	14.31	132745	
2022-12	12.65	137195	
2023-03	12.88	54734	
2023-06	11.78	77288	
2023-09	12.21	90049	
2023-12	10.24	90406	
2024-03	10.71	94761	
2024-06	9.75	96778	
2024-09	8.7	98231	
