month	ct_avg_Tdx收盘价	人均持股
2016-11	27.63	1088	
2016-12	24.59	2138	
2017-03	23.93	2591	
2017-06	24.86	3293	
2017-09	18.39	4820	
2017-12	14.61	21991	
2018-03	15.09	22634	
2018-06	15.73	24972	
2018-09	11.85	37105	
2018-12	11.44	38160	
2019-03	12.15	37264	
2019-06	11.68	36835	
2019-09	9.22	50866	
2019-12	9.35	100254	
2020-03	8.45	99625	
2020-06	8.23	104889	
2020-09	8.34	105784	
2020-12	7.92	101382	
2021-03	8.56	113005	
2021-06	8.35	111940	
2021-09	7.38	108918	
2021-12	7.17	106298	
2022-03	6.72	100853	
2022-06	6.5	98761	
2022-09	5.93	100455	
2022-12	5.96	102365	
2023-03	6.03	100714	
2023-06	6.11	101682	
2023-09	6.14	110297	
2023-12	5.91	111516	
2024-03	6.6	122973	
2024-06	7.49	128309	
2024-09	7.11	138335	
