month	ct_avg_前复权价格	人均持股
2018-01	1	1206	
2018-03	1.2	2527	
2018-06	0.98	3050	
2018-09	0.91	3273	
2018-12	0.84	3497	
2019-03	0.92	19198	
2019-06	0.9	22485	
2019-09	0.88	23314	
2019-12	0.93	25623	
2020-03	0.84	25221	
2020-06	0.84	26743	
2020-09	1.14	26369	
2020-12	1.21	28281	
2021-03	1.28	58037	
2021-06	1.49	73487	
2021-09	1.43	67685	
2021-12	1.35	67094	
2022-03	1.67	89371	
2022-06	1.93	92031	
2022-09	1.92	102066	
2022-12	1.77	94975	
2023-03	1.65	70936	
2023-06	1.5	67841	
2023-09	1.76	88016	
2023-12	1.4	65639	
2024-03	1.68	80116	
2024-06	1.92	82797	
2024-09	1.86	83529	
