month	ct_avg_前复权价格	股东人数
2018-01	1	299572	
2018-03	1.2	142921	
2018-06	0.98	118436	
2018-09	0.91	110365	
2018-12	0.84	103305	
2019-03	0.92	97224	
2019-06	0.9	83017	
2019-09	0.88	80065	
2019-12	0.93	73925	
2020-03	0.84	75103	
2020-06	0.84	70831	
2020-09	1.14	71859	
2020-12	1.21	67008	
2021-03	1.28	62024	
2021-06	1.49	48984	
2021-09	1.43	53183	
2021-12	1.35	53652	
2022-03	1.67	40303	
2022-06	1.93	39138	
2022-09	1.92	35997	
2022-12	1.77	39225	
2023-03	1.65	52549	
2023-06	1.5	56099	
2023-09	1.76	43240	
2023-12	1.4	57981	
2024-03	1.68	47513	
2024-06	1.92	45975	
2024-09	1.86	45572	
