month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2006-07	1.1	96.1	
2006-08	0.91	64.21	
2006-09	0.93	55.48	
2006-10	0.97	63.71	
2006-11	0.87	16.92	
2006-12	0.86	-12.24	
2007-01	0.99	18.62	
2007-02	1.08	60.83	
2007-03	1.28	84.13	
2007-04	1.52	95.24	
2007-05	1.83	98.31	
2007-06	1.53	83.25	
2007-07	1.44	64.2	
2007-08	1.61	76.32	
2007-09	2.43	95.76	
2007-10	3.51	98.71	
2007-11	4	95.82	
2007-12	4.74	97.86	
2008-01	5.57	93.59	
2008-02	6.04	94.22	
2008-03	6.45	93.88	
2008-04	6.58	92.81	
2008-05	9.22	97.81	
2008-06	7.65	79.51	
2008-07	7.69	76.9	
2008-08	5.95	37.2	
2008-09	4.1	-3.48	
2008-10	3.88	-24.33	
2008-11	3.56	-46.96	
2008-12	4.43	-32.57	
2009-01	4.61	-25.53	
2009-02	5.59	-1.92	
2009-03	5.48	3.61	
2009-04	5.01	-3.87	
2009-05	4.83	-16.57	
2009-06	5.55	18.87	
2009-07	6.51	58.66	
2009-08	6.71	73.39	
2009-09	7.07	86.81	
2009-10	7.87	94.53	
2009-11	8.56	96.6	
2009-12	8.37	86.84	
2010-01	8.73	90.49	
2010-02	8.13	71.67	
2010-03	8.37	69.56	
2010-04	8.91	83.63	
2010-05	7.81	53.35	
2010-06	6.88	-11.56	
2010-07	6.48	-34.17	
2010-08	8.25	12.34	
2010-09	8.02	20.21	
2010-10	8.99	32.98	
2010-11	9.88	54.26	
2010-12	9.38	53.42	
2011-01	8.89	39.24	
2011-02	9.16	45.6	
2011-03	10.64	83.15	
2011-04	11.17	90.74	
2011-05	10.63	81.8	
2011-06	10.07	60.63	
2011-07	10.74	80.14	
2011-08	9.79	32.88	
2011-09	8.74	-14.67	
2011-10	7.75	-47.1	
2011-11	8.24	-50.28	
2011-12	7.18	-72.85	
2012-01	6.82	-82.74	
2012-02	7.65	-66.74	
2012-03	7.72	-57.35	
2012-04	7.26	-78.94	
2012-05	7.61	-55.76	
2012-06	7.93	-18.97	
2012-07	7.26	-47.81	
2012-08	7.29	-68.17	
2012-09	6.89	-81.56	
2012-10	6.94	-83.13	
2012-11	6.71	-93.59	
2012-12	6.49	-87.58	
2013-01	6.83	-70	
2013-02	6.86	-57.62	
2013-03	7.1	-30.65	
2013-04	6.89	-25.1	
2013-05	6.66	-58.2	
2013-06	6.39	-65.65	
2013-07	5.79	-88.94	
2013-08	6.78	-50.41	
