month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2005-09	7.46	2.58	-0.47	-58.85	-0.01	-4.59	
2005-10	7.84	2.72	-0.45	-31.81	0.03	23.1	
2005-11	7.56	2.62	-0.46	-25.44	-0.01	34.09	
2005-12	7.17	2.48	-0.49	-31.82	-0.07	21.35	
2006-01	8.04	2.79	-0.43	8.15	0.04	50.84	
2006-02	7.83	2.71	-0.44	15.18	0	56.72	
2006-03	8.01	2.63	-0.42	19.64	-0.03	45.38	
2006-04	10.14	3.61	-0.27	39.51	0.32	90.13	
2006-05	12.51	5.65	-0.09	64.86	1.03	97.91	
2006-06	12.08	5.49	-0.12	74.11	0.95	91.15	
2006-07	12.84	5.81	-0.06	85.76	1.02	92.47	
2006-08	11.23	5.11	-0.18	66.26	0.76	71.58	
2006-09	12.02	5.49	-0.11	73.64	0.87	77	
2006-10	12.83	5.86	-0.05	83.61	0.97	84.56	
2006-11	12.54	5.73	-0.06	77.35	0.9	78.25	
2006-12	13.97	6.38	0.05	89.46	1.08	90.22	
2007-01	19.35	8.84	0.46	99.33	1.82	99.33	
2007-02	20.49	9.32	0.55	95.53	1.9	92.8	
2007-06	29.31	11.09	1.2	99.2	2.15	84.86	
2007-07	36.31	16.66	1.69	98.94	3.54	98.94	
2007-08	49.83	22.86	2.59	98.76	4.91	98.76	
2007-09	43.09	23.34	2.04	85.48	4.72	89.78	
2007-10	26.67	24.5	0.87	52.42	4.71	90.97	
2007-11	22.76	20.88	0.59	21.91	3.68	68.87	
2007-12	27.42	25.16	0.9	26.16	4.39	80.31	
2008-01	31.86	29.23	1.2	40.91	4.93	93.51	
2008-02	30.56	28.1	1.1	28.06	4.44	87.62	
2008-03	26.5	24.57	0.82	7.68	3.56	65.94	
2008-04	21.14	19.33	0.46	-29.55	2.48	17.43	
2008-05	22.41	22.97	0.55	-35.58	2.99	22.14	
2008-06	16.15	19.21	0.12	-70.07	2.26	-7.59	
2008-07	17.69	21.16	0.23	-73	2.49	-18.91	
2008-08	16.73	20.11	0.17	-82.34	2.23	-34.23	
2008-09	15.47	18.47	0.09	-85.53	1.9	-50.19	
2008-10	16.41	19.6	0.17	-77.72	2.01	-51.88	
2008-11	18.57	22.03	0.32	-61.09	2.29	-28.75	
2008-12	23.55	28.12	0.67	0.89	3.06	44.29	
2009-01	22.81	27.24	0.62	13.99	2.8	51.79	
2009-02	24.67	29.45	0.74	37.23	2.97	70.49	
2009-03	25.04	29.89	0.76	50.04	2.9	78.49	
2009-04	28.55	34.16	0.99	68.7	3.29	93.5	
2009-05	29.56	35.3	1.04	76.39	3.26	92.46	
2009-06	19.81	33.91	0.37	26.5	2.95	82.1	
2009-07	19.59	35.19	0.35	-16.3	2.95	84.59	
2009-08	19.27	34.62	0.33	-38.6	2.76	77.93	
2009-09	20.73	37.17	0.42	-36.1	2.9	89.29	
2009-10	22.35	40.16	0.52	-16.85	3.05	95.54	
2009-11	23.61	42.43	0.6	15.18	3.12	98.21	
2009-12	23.96	43.2	0.61	35.23	3.04	89.05	
2010-01	23.78	42.74	0.59	43.13	2.85	87.68	
2010-02	21.47	38.58	0.43	-13.27	2.37	49.82	
2010-03	21.31	38.26	0.42	-32.39	2.24	32.3	
2010-04	20.4	36.65	0.35	-56.38	2.02	-1.96	
2010-05	17.8	32.14	0.17	-72.45	1.58	-29.42	
2010-06	16.67	30.12	0.09	-78.43	1.37	-51.83	
2010-07	15.14	27.35	-0.01	-81.98	1.11	-60.27	
2010-08	16.96	30.51	0.1	-70.19	1.3	-57.91	
2010-09	17.62	31.83	0.14	-58.65	1.35	-50.37	
2010-10	19.38	34.88	0.24	-33.39	1.51	-20.43	
2010-11	19.8	35.77	0.26	-12.26	1.52	5.19	
2010-12	19.4	35.04	0.23	-2.87	1.41	15.3	
2011-01	18.4	33.24	0.16	-23.75	1.24	-15.49	
2011-02	19.84	35.85	0.24	8.57	1.36	14.46	
2011-03	20.73	37.45	0.29	40.22	1.41	50.43	
2011-04	19.68	35.56	0.22	33.32	1.24	45.72	
2011-05	17.91	32.38	0.1	-12.05	1	-8.16	
2011-06	13.59	30.69	-0.17	-48.3	0.86	-38.9	
2011-07	13.06	30.84	-0.2	-65.65	0.84	-50	
2011-08	10.95	25.85	-0.33	-86.14	0.52	-76.36	
2011-09	10.15	23.96	-0.38	-95.7	0.39	-90.05	
2011-10	10.12	23.9	-0.38	-91.35	0.37	-89.96	
2011-11	10.15	24	-0.38	-86.39	0.36	-85.67	
2011-12	8.44	19.86	-0.49	-99.7	0.11	-99.76	
2012-01	7.97	18.82	-0.51	-92.02	0.05	-91.73	
2012-02	8.49	20.04	-0.48	-80.13	0.1	-79.78	
2012-03	8.38	19.8	-0.49	-81.57	0.08	-81.53	
2012-04	7.83	18.5	-0.52	-90.96	0	-90.65	
2012-05	7.93	18.73	-0.52	-88.35	0	-87.78	
2012-06	7.31	17.49	-0.55	-95.77	-0.07	-94.2	
2012-07	6.36	15.18	-0.61	-97.93	-0.2	-97.97	
2012-08	6.36	15.19	-0.61	-91.85	-0.2	-91.85	
2012-09	6.03	14.39	-0.63	-95.4	-0.25	-95.58	
2012-10	6.42	15.31	-0.6	-80.06	-0.21	-80.01	
2012-11	5.99	14.3	-0.63	-93.1	-0.26	-93.1	
2012-12	6.22	14.85	-0.61	-75.42	-0.24	-75.38	
2013-01	7.35	17.53	-0.54	-23.75	-0.11	-23.26	
2013-02	7.86	18.75	-0.51	11.73	-0.05	12.09	
2013-03	7.28	17.37	-0.54	13.65	-0.13	14.33	
2013-04	6.73	16.04	-0.58	-9.03	-0.2	-8.48	
2013-05	7.92	18.91	-0.5	26.91	-0.07	28.12	
2013-06	8.17	19.76	-0.49	51.31	-0.03	55.83	
2013-07	8.38	20.27	-0.47	67.16	-0.02	71.16	
2013-08	8.45	20.45	-0.47	74.92	-0.02	76.91	
2013-09	10.34	25.02	-0.35	94.27	0.19	94.69	
2013-10	12.45	30.13	-0.21	95.04	0.41	95.73	
2013-11	11.62	28.12	-0.27	88.43	0.3	88.43	
2013-12	10.72	25.93	-0.33	70.86	0.19	71.02	
2014-01	10.3	25.15	-0.35	58.39	0.14	56.67	
2014-02	10.22	26.28	-0.36	47.66	0.18	61.61	
2014-03	9.15	23.52	-0.43	10.93	0.05	25.64	
2014-04	9.29	23.77	-0.42	-2.3	0.05	6.63	
2014-05	8.62	22.16	-0.46	-29.87	-0.03	-23.75	
2014-06	8.55	22.15	-0.47	-38.62	-0.04	-33.93	
2014-07	8.81	22.99	-0.45	-34.04	-0.01	-27.52	
