month	ct_avg_Tdx收盘价	人均持股
1999-12	25.51	1446	
2000-06	23.7	1354	
2000-12	21.42	1292	
2001-12	16.07	1479	
2002-03	15.92	1556	
2002-06	15.11	1604	
2002-09	12.22	2372	
2002-12	9.96	2365	
2003-03	10.16	3431	
2003-06	12.46	3395	
2003-09	9.91	3313	
2003-12	10.07	3431	
2004-03	10.89	3386	
2004-06	8.94	3327	
2004-09	8.68	3411	
2004-12	7.17	3436	
2005-03	7.25	3463	
2005-06	7.21	3754	
2005-09	8.51	4091	
2005-12	9.3	4457	
2006-03	10.84	4894	
2006-06	9.5	6181	
2006-09	10.33	7767	
2006-12	17.74	16864	
2007-03	24.49	21106	
2007-06	34.96	58393	
2007-09	51.29	54199	
2007-12	51.03	55430	
2008-03	35.3	28633	
2008-06	25.26	27953	
2008-09	16.7	23933	
2008-12	13.77	21972	
2009-03	19.57	24792	
2009-06	23.69	31634	
2009-09	20.11	18445	
2009-12	21.59	16612	
2010-03	21.8	18404	
2010-06	15.57	22880	
2010-09	13.42	23964	
2010-12	12.71	20831	
2011-03	13.29	24488	
2011-06	10.17	34787	
2011-09	8.94	33053	
2011-12	8.6	34125	
2012-03	9.27	35052	
2012-06	8.38	32683	
2012-09	7.38	32479	
2012-12	8.72	36252	
2013-03	10.68	35601	
2013-06	8.76	34292	
2013-09	10.52	28420	
2013-12	9.75	28656	
2014-03	9.11	28865	
2014-06	9.47	30312	
2014-09	9.67	33360	
2014-12	13.72	40211	
2015-03	15.02	36108	
2015-06	17.39	39314	
2015-09	15.35	62372	
2015-12	18.91	95163	
2016-03	17.66	101375	
2016-06	17.17	117957	
2016-09	16.47	126604	
2016-12	16.72	127842	
2017-03	16.17	124867	
2017-06	12.65	149614	
2017-09	12.9	146241	
2017-12	12.76	152208	
2018-03	12.19	137548	
2018-06	10.1	136491	
2018-09	10.27	142217	
2018-12	10.48	147331	
2019-03	11.51	147627	
2019-06	11.69	160867	
2019-09	11.78	169747	
2019-12	12.13	167454	
2020-03	10.52	154734	
2020-06	10.57	157706	
2020-09	9.84	134695	
2020-12	9.8	132578	
2021-03	10.8	153385	
2021-06	10.11	144070	
2021-09	9.17	137667	
2021-12	8.6	135215	
2022-03	8.06	131784	
2022-06	7.93	134843	
2022-09	7.18	134178	
2022-12	7.27	139147	
2023-03	7.19	138561	
2023-06	7.35	145313	
2023-09	7.09	149609	
2023-12	6.64	149927	
2024-03	7.1	159059	
2024-06	8.2	178310	
2024-09	8.74	200363	
