month	ct_avg_Tdx收盘价	股东人数
2003-09	3.91	2752	
2003-12	4.78	2600	
2004-12	4.92	2229	
2007-12	26.13	954	
2008-03	16.59	930	
2008-06	8.49	927	
2008-09	3.52	961	
2008-12	3.56	1017	
2009-03	4.75	1022	
2009-06	5.29	1009	
2009-09	5.29	993	
2009-12	5.94	986	
2010-03	7.03	961	
2010-06	6.7	943	
2010-09	7.83	935	
