month	ct_avg_Tdx收盘价	人均持股
2003-09	3.91	426664	
2003-12	4.78	451607	
2004-12	4.92	526773	
2007-12	26.13	1230795	
2008-03	16.59	1262557	
2008-06	8.49	1266643	
2008-09	3.52	1832744	
2008-12	3.56	1731826	
2009-03	4.75	1723353	
2009-06	5.29	1745557	
2009-09	5.29	2499916	
2009-12	5.94	2517664	
2010-03	7.03	2583160	
2010-06	6.7	2632468	
2010-09	7.83	2654991	
