month	ct_avg_前复权价格	人均持股
2003-09	1.01	426664	
2003-12	1.23	451607	
2004-12	1.27	526773	
2007-12	6.73	1230795	
2008-03	4.28	1262557	
2008-06	2.17	1266643	
2008-09	1.36	1832744	
2008-12	1.34	1731826	
2009-03	1.83	1723353	
2009-06	2.05	1745557	
2009-09	2.05	2499916	
2009-12	2.3	2517664	
2010-03	2.68	2583160	
2010-06	2.58	2632468	
2010-09	3.03	2654991	
