month	ct_avg_前复权价格	人均持股
2000-06	0.92	926	
2000-12	0.94	1039	
2001-06	0.88	958	
2001-12	0.58	1023	
2002-06	0.5	1102	
2002-09	0.49	1118	
2002-12	0.41	1135	
2003-03	0.44	1152	
2003-06	0.4	1186	
2003-09	0.37	1210	
2003-12	0.3	1250	
2004-03	0.41	1296	
2004-06	0.33	1320	
2004-09	0.29	1348	
2004-12	0.3	1317	
2005-03	0.27	1371	
2005-06	0.22	1402	
2005-09	0.24	1451	
2005-12	0.21	1454	
2006-03	0.23	1966	
2006-06	0.26	2130	
2006-09	0.26	2228	
2006-12	0.25	2361	
2007-03	0.36	3065	
2007-06	0.41	3234	
2007-09	0.45	3673	
2007-12	0.41	3785	
2008-03	0.47	3689	
2008-06	0.31	3718	
2008-09	0.24	3801	
2008-12	0.23	3702	
2009-03	0.3	3950	
2009-06	0.41	5875	
2009-09	0.38	6432	
2009-12	0.45	7538	
2010-03	0.7	6484	
2010-06	0.53	6735	
2010-09	0.61	7285	
2010-12	1.13	5687	
2011-03	1.12	5796	
2011-06	0.9	5743	
2011-09	0.83	5916	
2011-12	0.73	5687	
2012-03	0.8	6302	
2012-06	0.72	6528	
2012-09	0.62	6773	
2012-12	0.59	7230	
2013-03	0.95	9479	
2013-06	1.2	10976	
2013-09	2.21	12297	
2013-12	2.08	13395	
2014-03	2.44	14777	
2014-06	3.26	10648	
2014-09	3.82	10849	
2014-12	3.67	14733	
2015-03	5.01	11362	
2015-06	7.39	11447	
2015-09	4.41	9150	
2015-12	5.76	10486	
2016-03	4.06	10121	
2016-06	4.26	9708	
2016-09	4.74	11977	
2016-12	4	9555	
2017-03	3.78	10014	
2017-06	3.25	9419	
2017-09	3.9	11579	
2017-12	3.94	10871	
2018-03	4.39	12528	
2018-06	4.46	12893	
2018-08	5.43	12932	
2018-09	5.16	11296	
2018-11	3.86	9936.5	
2018-12	3.59	9037.5	
2019-02	4.1	11720	
2019-03	5.16	8397	
2019-06	4.97	8406	
2019-07	4.63	8595	
2019-08	4.62	9924.5	
2019-09	5.5	11558	
2019-11	6.07	12640	
2019-12	6.35	11071.67	
2020-03	8.81	8478.33	
2020-04	8.53	9104.33	
2020-05	9.17	9524	
2020-06	8.77	8521	
2020-07	8.86	6437.67	
2020-08	8.14	5685.5	
2020-09	7.1	5762.5	
2020-11	6.37	5870	
2020-12	6.06	5925	
2021-03	6.47	6110	
2021-05	6.12	6129	
2021-06	6.44	6363	
2021-07	6.45	6288	
2021-08	6.93	6606	
2021-09	6.63	6609.5	
2021-12	7.68	8966.33	
2022-01	7.8	9621.5	
2022-02	7.29	9080	
2022-03	6.53	8045	
2022-04	5.8	8546	
2022-05	5.53	8027	
2022-06	5.68	6960	
2022-07	5.57	7309	
2022-09	4.87	7147	
2022-11	5.09	6962	
2022-12	4.95	7199	
2023-01	5.17	7327	
2023-02	7.32	6976	
2023-03	7.94	5340.5	
2023-04	9.24	5517	
2023-06	11.35	5822	
2023-07	10.18	5880	
2023-08	9.81	5444	
2023-09	8.3	4856	
2023-10	7.23	4593	
2023-11	7.68	4323	
2023-12	7.7	4536.5	
2024-01	6.93	4743	
2024-02	7.22	4669	
2024-03	9.29	4510.5	
2024-04	8.55	4901	
2024-05	8.71	5013.67	
2024-06	8.2	4783	
2024-07	8.48	5017.67	
2024-08	7.43	4743	
2024-09	7.37	4682.5	
2024-10	9.69	4848.33	
2024-11	11.01	4878.67	
2024-12	11.07	4534	
2025-01	11.18	4822	
