month	ct_avg_Tdx收盘价	股东人数
2010-09	92.05	24473.5	
2010-12	147.35	6694	
2011-03	136.75	6389	
2011-06	69.07	5913	
2011-09	75.61	5616	
2011-12	58.72	5692	
2012-03	52.41	6418	
2012-06	24.39	6298	
2012-09	19.6	7080	
2012-12	22.5	6290	
2013-03	26.12	5735	
2013-06	33.26	5060	
2013-09	46.11	5088	
2013-12	53.04	4606	
2014-03	73.61	6554	
2014-06	27.7	8853	
2014-09	29.97	17316	
2014-12	29.98	14451	
2015-03	38.43	20238	
2015-06	60.31	25537	
2015-09	36.16	22653	
2015-12	45.8	31268	
2016-03	36.02	28889	
2016-06	18.95	36339	
2016-09	18.71	35777	
2016-12	20.06	31716	
2017-03	22.36	27781	
2017-04	23.23	26763.5	
2017-06	24.14	25269	
2017-09	28.08	23475	
2017-12	27.62	28466	
2018-03	33.38	27214	
2018-04	32.65	27359	
2018-05	32.89	28580	
2018-06	32.82	26903.33	
2018-07	29.62	27656.67	
2018-08	26.87	28054.33	
2018-09	26.26	27105	
2018-10	23.16	26727.33	
2018-11	22.91	27737.67	
2018-12	21.31	28699.5	
2019-01	22.03	26812	
2019-02	25.15	26382.5	
2019-03	27.02	32107.25	
2019-04	27.38	31199.67	
2019-05	23.32	30275.33	
2019-06	23.1	30240	
2019-07	23.77	28922.33	
2019-08	23.08	28080	
2019-09	24.38	29243.67	
2019-10	24.23	27230.67	
2019-11	25.78	24813.33	
2019-12	28.65	23313.33	
2020-01	30.75	23560.5	
2020-02	29.54	25112	
2020-03	26.94	26681.33	
2020-04	29.47	21862.33	
2020-05	34.78	18322.33	
2020-06	35.08	19912.33	
2020-07	47.4	25030.67	
2020-08	54.44	29024.67	
2020-09	54.61	27135.67	
2020-10	63.03	26083	
2020-11	80.5	27549	
2020-12	86.4	29942.33	
2021-01	95.86	39549.33	
2021-02	101.36	39649	
2021-03	85.31	39162.67	
2021-04	84.13	40323.67	
2021-05	89.35	39368.67	
2021-06	69.03	56164	
2021-07	77.49	87980.5	
2021-08	77.15	96765	
2021-09	67.31	109983	
2021-10	62.4	128085	
2021-11	67.93	127240	
2021-12	69.12	118405.33	
2022-01	65.43	108570.33	
2022-02	62.8	102315.33	
2022-03	58.43	99600.33	
2022-04	53.43	94237.33	
2022-05	58.25	87030	
2022-06	65.75	81919	
2022-07	63.63	85765.33	
2022-08	62.96	87002.67	
2022-09	57.76	85303.33	
2022-10	63.77	77125.33	
2022-11	69.89	64352	
2022-12	69.5	59227.25	
2023-01	68.31	59905.67	
2023-02	72.68	56659.33	
2023-03	71.12	56980.67	
2023-04	65.9	63913	
2023-05	58.88	68014.33	
2023-06	61.02	67630.33	
2023-07	67.74	61805	
2023-08	68.2	55111.33	
2023-09	68.8	52802	
2023-10	63.95	53796.33	
2023-11	62.46	55812.33	
2023-12	60.98	55750.75	
2024-01	56.59	58246	
2024-02	60.79	54518	
2024-03	63.62	63813.75	
2024-04	59.94	67288.67	
2024-05	60.78	63505	
2024-06	53.7	77061.75	
2024-07	48.95	79017	
2024-08	43.04	79998	
2024-09	45.52	77914	
2024-10	58.72	96494.67	
2024-11	59.78	111834.33	
2024-12	60.61	110050	
2025-01	59.31	111245.33	
