month	ct_avg_前复权价格	人均持股
2010-09	1	1146.5	
2010-12	1.6	4033	
2011-03	1.49	4226	
2011-06	1.51	9132	
2011-09	1.67	11498	
2011-12	1.29	11345	
2012-03	1.15	10061	
2012-06	0.97	18456	
2012-09	0.78	16789	
2012-12	0.9	18898	
2013-03	1.05	20727	
2013-06	1.35	23491	
2013-09	1.88	58976	
2013-12	2.16	64487	
2014-03	3	45320	
2014-06	2.29	68838	
2014-09	2.48	35227	
2014-12	2.48	41572	
2015-03	3.17	29685	
2015-06	5.04	24317	
2015-09	3.02	27256	
2015-12	3.83	19884	
2016-03	3.01	21522	
2016-06	3.22	34652	
2016-09	3.17	35312	
2016-12	3.4	39967	
2017-03	3.79	46133	
2017-04	3.94	47890.5	
2017-06	4.14	50408	
2017-09	4.82	54369	
2017-12	4.74	42853	
2018-03	5.73	45110	
2018-04	5.61	44871	
2018-05	5.65	42956	
2018-06	5.69	47028.33	
2018-07	5.13	48490	
2018-08	4.66	47838	
2018-09	4.55	49554	
2018-10	4.01	50243.67	
2018-11	3.97	48536.67	
2018-12	3.69	46786.75	
2019-01	3.82	50274	
2019-02	4.36	51359	
2019-03	4.64	42352.25	
2019-04	4.72	43503	
2019-05	4.04	44768	
2019-06	4	44808	
2019-07	4.15	46862.67	
2019-08	4.03	48255	
2019-09	4.26	46370.67	
2019-10	4.23	49816.33	
2019-11	4.51	54629.67	
2019-12	5.01	58192	
2020-01	5.37	58408	
2020-02	5.16	55034.67	
2020-03	4.71	51817.67	
2020-04	5.15	63511	
2020-05	6.08	75432.67	
2020-06	6.13	69688.67	
2020-07	8.3	55272.33	
2020-08	9.55	47830.67	
2020-09	9.58	50937.67	
2020-10	11.06	52992.5	
2020-11	14.12	50147	
2020-12	15.15	46996.67	
2021-01	16.81	35563.33	
2021-02	17.78	35522.67	
2021-03	14.96	35942	
2021-04	14.76	34893.33	
2021-05	15.67	35517.67	
2021-06	17.02	37821	
2021-07	20.47	23607.5	
2021-08	20.38	21508.67	
2021-09	17.78	18896	
2021-10	16.48	16289.67	
2021-11	17.94	16452	
2021-12	18.26	18797.67	
2022-01	17.28	20755	
2022-02	16.59	22284.33	
2022-03	15.2	22878.33	
2022-04	14.11	24209.67	
2022-05	15.39	26588	
2022-06	17.37	28274.67	
2022-07	16.88	26674.33	
2022-08	16.7	26310	
2022-09	15.33	26888.33	
2022-10	16.92	29871.67	
2022-11	18.54	35837	
2022-12	18.44	38969.25	
2023-01	18.13	38534	
2023-02	19.29	40748.33	
2023-03	18.87	40517.33	
2023-04	17.49	36241.67	
2023-05	15.62	34008.67	
2023-06	16.26	34213.33	
2023-07	18.08	37584	
2023-08	18.21	42048	
2023-09	18.37	43904	
2023-10	17.07	43137.33	
2023-11	16.67	41621.67	
2023-12	16.28	41738.25	
2024-01	15.11	40038.33	
2024-02	16.23	42746.5	
2024-03	16.98	36778.75	
2024-04	16	34649	
2024-05	16.24	36852.67	
2024-06	14.45	30126.5	
2024-07	13.17	28693.33	
2024-08	11.58	28339.67	
2024-09	12.25	29124.67	
2024-10	15.8	23595.67	
2024-11	16.08	20390.33	
2024-12	16.31	20726.67	
2025-01	15.96	20503	
