month	ct_avg_前复权价格	股东人数
2010-09	1	24473.5	
2010-12	1.6	6694	
2011-03	1.49	6389	
2011-06	1.51	5913	
2011-09	1.67	5616	
2011-12	1.29	5692	
2012-03	1.15	6418	
2012-06	0.97	6298	
2012-09	0.78	7080	
2012-12	0.9	6290	
2013-03	1.05	5735	
2013-06	1.35	5060	
2013-09	1.88	5088	
2013-12	2.16	4606	
2014-03	3	6554	
2014-06	2.29	8853	
2014-09	2.48	17316	
2014-12	2.48	14451	
2015-03	3.17	20238	
2015-06	5.04	25537	
2015-09	3.02	22653	
2015-12	3.83	31268	
2016-03	3.01	28889	
2016-06	3.22	36339	
2016-09	3.17	35777	
2016-12	3.4	31716	
2017-03	3.79	27781	
2017-04	3.94	26763.5	
2017-06	4.14	25269	
2017-09	4.82	23475	
2017-12	4.74	28466	
2018-03	5.73	27214	
2018-04	5.61	27359	
2018-05	5.65	28580	
2018-06	5.69	26903.33	
2018-07	5.13	27656.67	
2018-08	4.66	28054.33	
2018-09	4.55	27105	
2018-10	4.01	26727.33	
2018-11	3.97	27737.67	
2018-12	3.69	28699.5	
2019-01	3.82	26812	
2019-02	4.36	26382.5	
2019-03	4.64	32107.25	
2019-04	4.72	31199.67	
2019-05	4.04	30275.33	
2019-06	4	30240	
2019-07	4.15	28922.33	
2019-08	4.03	28080	
2019-09	4.26	29243.67	
2019-10	4.23	27230.67	
2019-11	4.51	24813.33	
2019-12	5.01	23313.33	
2020-01	5.37	23560.5	
2020-02	5.16	25112	
2020-03	4.71	26681.33	
2020-04	5.15	21862.33	
2020-05	6.08	18322.33	
2020-06	6.13	19912.33	
2020-07	8.3	25030.67	
2020-08	9.55	29024.67	
2020-09	9.58	27135.67	
2020-10	11.06	26083	
2020-11	14.12	27549	
2020-12	15.15	29942.33	
2021-01	16.81	39549.33	
2021-02	17.78	39649	
2021-03	14.96	39162.67	
2021-04	14.76	40323.67	
2021-05	15.67	39368.67	
2021-06	17.02	56164	
2021-07	20.47	87980.5	
2021-08	20.38	96765	
2021-09	17.78	109983	
2021-10	16.48	128085	
2021-11	17.94	127240	
2021-12	18.26	118405.33	
2022-01	17.28	108570.33	
2022-02	16.59	102315.33	
2022-03	15.2	99600.33	
2022-04	14.11	94237.33	
2022-05	15.39	87030	
2022-06	17.37	81919	
2022-07	16.88	85765.33	
2022-08	16.7	87002.67	
2022-09	15.33	85303.33	
2022-10	16.92	77125.33	
2022-11	18.54	64352	
2022-12	18.44	59227.25	
2023-01	18.13	59905.67	
2023-02	19.29	56659.33	
2023-03	18.87	56980.67	
2023-04	17.49	63913	
2023-05	15.62	68014.33	
2023-06	16.26	67630.33	
2023-07	18.08	61805	
2023-08	18.21	55111.33	
2023-09	18.37	52802	
2023-10	17.07	53796.33	
2023-11	16.67	55812.33	
2023-12	16.28	55750.75	
2024-01	15.11	58246	
2024-02	16.23	54518	
2024-03	16.98	63813.75	
2024-04	16	67288.67	
2024-05	16.24	63505	
2024-06	14.45	77061.75	
2024-07	13.17	79017	
2024-08	11.58	79998	
2024-09	12.25	77914	
2024-10	15.8	96494.67	
2024-11	16.08	111834.33	
2024-12	16.31	110050	
2025-01	15.96	111245.33	
