month	ct_avg_Tdx收盘价	股东人数
2015-01	7.21	75293	
2015-03	20.12	34609	
2015-06	29.66	34394	
2015-09	13.71	25233	
2015-12	27.84	23307	
2016-03	19.39	28659	
2016-06	36.04	50020	
2016-09	31.71	49343	
2016-12	35.96	37157	
2017-03	53.73	44620	
2017-06	51.3	37994	
2017-09	87.94	52412	
2017-12	83.31	70358	
2018-03	123.11	74622	
2018-06	98.22	83490	
2018-09	50.31	104823	
2018-12	33.48	138615	
2019-02	33.64	142414	
2019-03	38.7	147179	
2019-04	37.63	133454	
2019-06	23.15	143761	
2019-09	27.15	120614	
2019-12	32.62	108660	
2020-03	34.63	167087	
2020-06	36.14	154099	
2020-09	37.37	169888	
2020-12	62.8	89051	
2021-03	72.16	132737	
2021-06	99.82	89135	
2021-09	114.43	134284	
2021-12	119.47	143408	
2022-03	103.42	131105	
2022-06	91.27	113730	
2022-09	72.79	176901	
2022-12	61.05	187158	
2023-03	56.33	210303	
2023-06	46.96	212729	
2023-09	38.97	217064	
2023-12	31.17	217533	
2024-03	27.88	225687	
2024-06	24.73	244022	
2024-09	23.09	243835	
