month	ct_avg_前复权价格	股东人数
1996-12	1.05	11612	
1997-12	1.96	57325	
1998-06	2.63	47326	
1998-12	1.93	85099	
1999-06	1.7	83128	
1999-12	1.19	94937	
2000-12	1.47	111314	
2001-12	1.2	105999	
2002-06	1.15	99603	
2002-09	1.09	99132	
2002-12	0.84	98398	
2003-03	0.88	97452	
2003-06	0.83	90110	
2003-09	0.75	88478	
2003-12	0.61	84862	
2004-03	0.74	80153	
2004-06	0.57	81719	
2004-09	0.43	79022	
2004-12	0.32	77656	
2005-03	0.3	76606	
2005-06	0.27	75801	
2005-09	0.32	74020	
2005-12	0.27	72961	
2006-03	0.33	72284	
2006-06	0.39	67785	
2006-09	0.38	63896	
2006-12	0.39	60668	
2007-03	0.71	57681	
2007-06	1.14	53522	
2007-09	1.26	44995	
2007-12	1.09	46211	
2008-03	1.38	49749	
2008-06	0.9	51045	
2008-09	0.64	53221	
2008-12	0.7	53462	
2009-03	0.96	51687	
2009-06	1.24	54073	
2009-09	1.32	54839	
2009-12	1.61	61231	
2010-03	1.58	52877	
2010-06	1.5	45768	
2010-09	2.06	36462	
2010-12	2.57	49114	
2011-03	3.07	38123	
2011-06	2.43	36960	
2011-09	2.09	37327	
2011-12	1.66	52311	
2012-03	1.67	47088	
2012-06	1.52	47894	
2012-09	1.12	46963	
2012-12	0.96	53767	
2013-03	1.08	46946	
2013-06	1.05	40040	
2013-09	1.07	37634	
2013-12	0.94	36327	
2014-03	1.14	44702	
2014-06	1.47	53201	
2014-09	2.11	55150	
2014-12	2.3	63364	
2015-03	2.39	55990	
2015-06	4.28	78843	
2015-09	2.46	94141	
2015-12	2.99	91630	
2016-03	2.19	94961	
2016-06	1.61	71372	
2016-08	1.76	65046	
2016-09	1.84	65046	
2016-12	2.39	63699	
2017-02	5.26	43683	
2017-03	6.64	63564	
2017-06	6.01	61219	
2017-09	6.07	59185	
2017-12	6.19	57693	
2018-03	5.91	52740	
2018-05	6.88	47279	
2018-06	6.69	43746	
2018-08	6.69	42788	
2018-09	7.14	41325.33	
2018-10	6.53	43778	
2018-11	6.36	44551	
2018-12	5.74	47018	
2019-01	5.72	43738	
2019-02	6.12	44382	
2019-03	6.22	46934.67	
2019-04	6.17	49555.33	
2019-05	5.55	51002.67	
2019-06	5.32	51357.25	
2019-07	5.62	51335.33	
2019-08	5.6	51723	
2019-09	6.53	52192	
2019-10	5.59	56423.33	
2019-11	5.37	61233	
2019-12	5.79	52472.67	
2020-01	5.94	49235	
2020-02	5.28	57050	
2020-03	5.38	56346.67	
2020-04	5.87	44454	
2020-06	6.18	45186	
2020-09	10.55	78467	
2020-12	12.52	61958	
2021-03	12.63	101766	
2021-06	14.96	111484	
2021-09	19.48	116740	
2021-12	18.59	114390	
2022-03	14.91	116484	
2022-06	15.53	106555	
2022-09	17.17	78459	
2022-12	15.94	103594	
2023-03	14.93	123949	
2023-06	15.57	95130	
2023-09	16.45	90282	
2023-12	15.78	83931	
2024-03	14.29	95256	
2024-06	15.41	81436	
2024-09	15.51	77627	
