month	ct_avg_Tdx收盘价	人均持股
2017-03	215.11	545	
2017-06	308.04	925	
2017-09	298.33	1611	
2017-12	132.22	1624	
2018-03	127.19	1850	
2018-05	130.8	2686	
2018-06	64.79	3682	
2018-07	67.2	3767.67	
2018-08	61.59	3695.5	
2018-09	59.76	3874	
2018-10	61.92	3902	
2018-12	73.86	4733	
2019-01	76.43	4898	
2019-02	83.64	5477	
2019-03	97.6	5405.5	
2019-05	92.4	5799	
2019-06	94.13	5504	
2019-09	64.78	7676	
2019-10	69.3	7944	
2019-12	73.13	6517	
2020-02	96.64	7825.25	
2020-03	93.58	9855	
2020-06	63.62	19295	
2020-08	60.77	17419	
2020-09	59.46	17565	
2020-10	62	19411	
2020-11	67.81	23136.5	
2020-12	71.34	27029	
2021-01	77.62	24841.5	
2021-03	70.37	26982.5	
2021-05	75.7	29476	
2021-06	79.66	31184.67	
2021-07	89.75	35460.33	
2021-08	87.7	35806	
2021-09	81.85	35932	
2021-10	79.13	34117	
2021-11	78.19	32862.5	
2021-12	81.61	35431.5	
2022-01	82.41	36723.5	
2022-02	75.34	35201.33	
2022-03	78.39	40529.5	
2022-04	76.43	40534.67	
2022-05	73.23	36415	
2022-06	76.01	38066.33	
2022-07	73.94	42197	
2022-08	73.69	38256	
2022-09	67.79	37886	
2022-10	65.06	39808	
2022-11	67.2	38950.5	
2022-12	61.22	34453	
2023-02	65.37	30528	
2023-03	73.78	34037	
2023-04	66.04	26292	
2023-05	55.95	22736.33	
2023-06	37.04	26361.5	
2023-07	37.02	27518	
2023-09	36.64	29640	
2023-12	30.1	28209	
2024-01	26.85	28458	
2024-02	27.25	29195	
2024-03	27.44	27347	
2024-04	32.92	29622	
2024-05	37.49	33917	
2024-06	37.06	34661.5	
2024-07	36.07	34951	
2024-08	32.6	34087.33	
2024-09	34.77	33763	
2024-10	40.41	25356	
2024-11	39.13	20342	
2024-12	38.71	20651	
