month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2020-01	0.8	48.02	
2020-02	0.7	-21.79	
2020-03	0.67	-67.37	
2020-04	0.65	-82.35	
2020-05	0.64	-87.25	
2020-06	0.62	-91.21	
2020-07	0.68	-59.28	
2020-08	0.68	-47.07	
2020-09	0.67	-42.04	
2020-10	0.66	-55.19	
2020-11	0.68	-11.18	
2020-12	0.69	7.96	
2021-01	0.67	-3.93	
2021-02	0.65	-46.67	
2021-03	0.71	17.55	
2021-04	0.74	66.62	
2021-05	0.78	79.02	
2021-06	0.74	68.96	
2021-07	0.71	45.41	
2021-08	0.7	9.09	
2021-09	0.75	61.29	
2021-10	0.72	42.3	
2021-11	0.69	-11.28	
2021-12	0.75	38.94	
2022-01	0.78	73.68	
2022-02	0.84	84.99	
2022-03	0.75	56.25	
2022-04	0.77	60.48	
2022-05	0.73	13.72	
2022-06	0.77	45.24	
2022-07	0.78	52.76	
2022-08	0.76	24.5	
2022-09	0.8	65.27	
2022-10	0.8	79.58	
2022-11	0.81	77.19	
2022-12	0.81	73.82	
2023-01	0.8	57.76	
2023-02	0.82	76.65	
2023-03	0.88	89.87	
2023-04	0.92	94.64	
2023-05	0.94	91.34	
2023-06	0.96	93.26	
2023-07	0.98	95.37	
2023-08	1	94.49	
2023-09	1.06	94.95	
2023-10	1.02	80.41	
2023-11	1.01	68.02	
2023-12	1.06	90.18	
2024-01	1.08	89.45	
2024-02	1.14	94.9	
2024-03	1.17	93.88	
2024-04	1.25	96.88	
2024-05	1.23	88.66	
2024-06	1.26	90.84	
2024-07	1.31	95.96	
2024-08	1.41	97.24	
2024-09	1.36	81.3	
2024-10	1.35	76.83	
2024-11	1.31	54.51	
2024-12	1.45	81.74	
2025-01	1.47	87.35	
