month	ct_avg_Tdx收盘价	ct_avg_前复权价格	deviate_avg_100_ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价	deviate_avg_100_ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2008-11	3.2	0.47	-0.54	-85.09	-0.3	-89.11	
2008-12	3.61	0.53	-0.48	-76.05	-0.2	-76.63	
2009-01	3.56	0.52	-0.48	-73.04	-0.21	-73.45	
2009-02	4.59	0.67	-0.32	-37.68	0.02	-37.14	
2009-03	4.39	0.64	-0.34	-24.84	-0.02	-23.9	
2009-04	4.89	0.72	-0.26	3.62	0.11	5.23	
2009-05	5.29	0.78	-0.19	23.17	0.2	24.06	
2009-06	5.59	0.83	-0.13	40.3	0.28	42.57	
2009-07	6.5	0.97	0.02	54.89	0.49	54.81	
2009-08	6.46	0.96	0.02	58.33	0.48	58.04	
2009-09	5.98	0.89	-0.04	48.42	0.37	49.27	
2009-10	6.16	0.92	0	47.93	0.42	49	
2009-11	6.99	1.04	0.14	76.02	0.6	77.38	
2009-12	6.97	1.04	0.15	80.98	0.6	81.17	
2010-01	6.73	1	0.12	71.76	0.54	72.1	
2010-02	6.22	0.92	0.05	39.46	0.42	40.42	
2010-03	6.48	0.96	0.11	41.19	0.48	39.36	
2010-04	6.79	1.01	0.17	60.54	0.55	58.8	
2010-05	6.09	0.91	0.06	31.01	0.38	31.21	
2010-06	5.36	0.8	-0.06	-33.74	0.21	-33.55	
2010-07	4.84	0.72	-0.15	-59.74	0.09	-58.77	
2010-08	5.16	0.77	-0.09	-59.58	0.17	-61.44	
2010-09	4.91	0.73	-0.12	-80.22	0.11	-79.42	
2010-10	5.18	0.77	-0.07	-68.45	0.17	-66.85	
2010-11	5.31	0.79	-0.04	-48.54	0.2	-47.44	
2010-12	5.23	0.78	-0.05	-42.12	0.16	-43.44	
2011-01	4.81	0.71	-0.12	-71.52	0.06	-72.59	
2011-02	4.75	0.71	-0.13	-80.12	0.06	-79.7	
2011-03	4.89	0.73	-0.09	-73.99	0.09	-71.78	
2011-04	5.04	0.75	-0.06	-45.21	0.12	-48.64	
2011-05	4.65	0.69	-0.13	-83.48	0.01	-82.57	
2011-06	4.2	0.62	-0.21	-96.04	-0.09	-91.03	
2011-07	4.1	0.62	-0.23	-92.47	-0.09	-86.78	
2011-08	3.65	0.55	-0.31	-96.98	-0.19	-95.46	
2011-09	3.43	0.52	-0.34	-98.68	-0.24	-97.36	
2011-10	3.21	0.48	-0.38	-96.65	-0.29	-96.6	
2011-11	3.63	0.55	-0.3	-75.93	-0.19	-74.51	
2011-12	3	0.45	-0.42	-94.36	-0.34	-94.07	
2012-01	2.9	0.44	-0.43	-90.59	-0.35	-90.24	
2012-02	3.1	0.47	-0.39	-77.28	-0.31	-76.97	
2012-03	3.18	0.48	-0.37	-65.34	-0.29	-64.08	
2012-04	3.24	0.49	-0.35	-61.03	-0.28	-60.87	
2012-05	3.24	0.49	-0.35	-39.58	-0.28	-38.03	
2012-06	3.09	0.47	-0.38	-61.7	-0.31	-58.17	
2012-07	2.91	0.44	-0.41	-82.43	-0.35	-78	
2012-08	2.93	0.44	-0.41	-83.35	-0.35	-77.52	
2012-09	2.92	0.44	-0.4	-80	-0.35	-73.39	
2012-10	3	0.46	-0.38	-63.19	-0.32	-58.43	
2012-11	3	0.46	-0.38	-49.19	-0.32	-35.71	
2012-12	2.98	0.45	-0.38	-49.83	-0.34	-47.11	
2013-01	3.11	0.47	-0.35	-1.38	-0.32	2.77	
2013-02	3.17	0.48	-0.34	22.02	-0.3	33.09	
2013-03	3.05	0.46	-0.36	14.92	-0.33	21.73	
2013-04	2.96	0.45	-0.38	-33.63	-0.35	-21.98	
2013-05	3.08	0.47	-0.35	-22.32	-0.32	-20.13	
2013-06	2.98	0.45	-0.37	11.4	-0.35	7.04	
2013-07	2.83	0.44	-0.4	-56.75	-0.37	-46.31	
2013-08	3.08	0.48	-0.35	-9.05	-0.31	2.56	
2013-09	3.23	0.5	-0.32	40.93	-0.29	45.49	
2013-10	3.4	0.53	-0.28	72.57	-0.24	72.67	
2013-11	3.29	0.51	-0.3	75.81	-0.28	67.13	
2013-12	3.28	0.51	-0.31	76.42	-0.28	71.79	
2014-01	3.07	0.47	-0.35	25.76	-0.34	26.44	
2014-02	3.2	0.49	-0.33	37.39	-0.32	34.21	
2014-03	3.26	0.51	-0.32	58.89	-0.29	54.68	
2014-04	3.27	0.51	-0.31	68.54	-0.29	68.2	
2014-05	3.03	0.47	-0.37	-10.36	-0.36	-5.58	
2014-06	2.93	0.45	-0.39	-42.01	-0.38	-37.46	
2014-07	3.02	0.47	-0.37	-45.5	-0.36	-32.18	
2014-08	3.23	0.51	-0.33	-3.23	-0.3	17.86	
2014-09	3.81	0.6	-0.21	41.11	-0.19	54.21	
2014-10	4.05	0.64	-0.16	80.26	-0.14	75.64	
2014-11	4.1	0.65	-0.15	90.71	-0.12	85.67	
2014-12	4.58	0.72	-0.05	97.79	-0.04	95.3	
2015-01	4.83	0.76	0	91.56	0.01	91.29	
2015-02	4.92	0.77	0.01	93.27	0.01	92.38	
2015-03	5.68	0.9	0.17	99.03	0.18	98.46	
2015-04	7.39	1.16	0.51	97.53	0.51	97.36	
2015-05	7.65	1.21	0.55	92.14	0.57	92.1	
2015-06	10.12	1.59	1.02	97.07	1.04	97.02	
2015-07	6.35	0.96	0.26	63.84	0.22	57.88	
2015-08	6.05	0.96	0.2	42.05	0.22	39.41	
2015-09	4.76	0.76	-0.06	-0.27	-0.03	-3.66	
2015-10	5.22	0.83	0.04	-5.57	0.08	-7.98	
