month	ct_avg_Tdx收盘价	股东人数
2000-12	12.56	69620	
2001-06	13.68	66577	
2001-12	9.72	68703	
2002-06	7.91	75309	
2002-09	7.98	72965	
2002-12	6.42	72166	
2003-03	6.79	70819	
2003-06	6.09	69979	
2003-09	6.27	69103	
2003-12	5.26	67456	
2004-03	5.77	64521	
2004-06	5.05	64925	
2004-09	4.56	63817	
2004-12	3.88	63127	
2005-03	3.2	62130	
2005-06	2.41	61117	
2005-09	2.66	58926	
2005-12	2.48	56691	
2006-03	3.08	53468	
2006-06	3.56	62148	
2006-09	4.35	71240	
2006-12	3.15	92890	
2007-03	6.01	146742	
2007-09	14.1	193130	
2007-12	11.33	191238	
2008-03	10.59	205966	
2008-06	5.55	195354	
2008-09	4.02	184408	
2008-12	3.61	182324	
2009-03	4.39	176924	
2009-06	5.59	159199	
2009-09	5.98	170890	
2009-12	6.97	158185	
2010-03	6.48	157865	
2010-06	5.36	154379	
2010-09	4.91	155202	
2010-12	5.23	154049	
2011-03	4.89	149062	
2011-06	4.2	147284	
2011-09	3.43	145499	
2011-12	3	145465	
2012-03	3.18	142788	
2012-06	3.09	140200	
2012-09	2.92	138116	
2012-12	2.98	137011	
2013-03	3.05	133598	
2013-06	2.98	133450	
2013-09	3.23	130108	
2013-12	3.28	127519	
2014-03	3.26	125803	
2014-06	2.93	124364	
2014-09	3.81	126610	
2014-12	4.58	120856	
2015-03	5.68	116883	
2015-06	10.12	130646	
2015-09	4.76	131996	
2015-12	6.23	118583	
2016-03	4.56	115131	
2016-06	4.26	110550	
2016-09	4.55	105182	
2016-12	5.17	111599	
2017-03	5.15	106334	
2017-12	5.32	104710	
2018-03	6.53	94569	
2018-06	6.83	88601	
2018-09	6.38	85043	
2018-12	5.47	82316	
2019-03	5.91	80744	
2019-06	5.64	78170	
2019-09	5.34	75650	
2019-12	5.11	74337	
2020-03	4.89	72637	
2020-06	5.54	67515	
2020-09	6.29	61966	
2020-12	9.8	52882	
2021-03	13.24	53457	
2021-06	17.46	55771	
2021-09	33.36	66130	
2021-12	22.81	121013	
2022-03	15.54	118328	
2022-06	17.25	112209	
2022-09	19.25	89045	
2022-12	13.94	115305	
2023-03	14.17	117155	
2023-06	11.47	123098	
2023-09	11.67	119244	
2023-12	9.22	113523	
2024-03	10.32	103295	
2024-06	8.28	101259	
2024-09	7.65	97567	
