month	ct_avg_Tdx收盘价	股东人数
2006-09	28.51	16943	
2006-12	40.29	12443	
2007-03	52.7	23582	
2007-06	43.03	22695	
2007-09	76.8	28825	
2007-12	64.3	33686	
2008-03	37.4	59015	
2008-06	14.83	96009	
2008-09	12.96	85615	
2008-12	17.03	84089	
2009-03	21.15	66590	
2009-06	25.14	66676	
2009-09	24.06	132285	
2009-12	23.64	194994	
2010-03	20.06	201263	
2010-06	11.12	224905	
2010-09	11.45	208285	
2010-12	12.77	178752	
2011-03	13.1	176869	
2011-06	10.04	153063	
2011-09	10.15	146968	
2011-12	9.86	129832	
2012-03	11.03	121964	
2012-06	12.83	104613	
2012-09	10.19	105660	
2012-12	12.45	97706	
2013-03	11.5	123695	
2013-06	10.8	125847	
2013-09	10.61	136427	
2013-12	8.53	156255	
2014-03	7.07	169546	
2014-06	5.01	167624	
2014-09	5.67	187877	
2014-12	8.42	146377	
2015-03	10.07	377248	
2015-06	12.44	446326	
2015-09	8.14	347293	
2015-12	11.06	306305	
2016-03	9.73	296462	
2016-06	8.43	271218	
2016-09	9.57	254094	
2016-12	9.54	238239	
2017-03	9.66	225068	
2017-06	9.76	206549	
2017-09	10.88	188114	
2017-12	12.91	153128	
2018-03	14.29	212190	
2018-06	13.26	184054	
2018-09	12.11	170671	
2018-12	12.49	156438	
2019-03	13.69	155106	
2019-06	12.77	165287	
2019-09	14.21	138863	
2019-12	15.56	138926	
2020-03	15.57	142008	
2020-06	14.68	166310	
2020-09	16.51	210750	
2020-12	16.2	226666	
2021-03	15.02	250120	
2021-06	12.79	264212	
2021-09	12.83	199490	
2021-12	14.92	153465	
2022-03	16.91	131632	
2022-06	15.86	145043	
2022-09	17.76	109696	
2022-12	15.73	147744	
2023-03	14.42	180234	
2023-06	13.39	163927	
2023-09	13.47	148472	
2023-12	9.91	184830	
2024-03	9.45	188130	
2024-06	9.77	165215	
2024-09	8.14	248055	
