month	ct_avg_前复权价格	人均持股
1996-12	1.82	2082	
1997-12	2.07	1291	
1998-12	1.96	1653	
1999-12	2.47	2430	
2000-12	4.44	2653	
2001-12	4.11	0	
2002-06	3.72	0	
2002-09	3.24	0	
2002-12	2.33	0	
2003-03	2.42	0	
2003-06	2.1	0	
2003-09	1.87	0	
2003-12	1.5	0	
2004-03	1.74	0	
2004-06	1.53	0	
2004-09	1.39	0	
2004-12	1.1	0	
2005-03	0.95	0	
2005-06	0.86	0	
2005-09	0.97	0	
2005-12	0.92	3326	
2006-03	0.92	3445	
2006-06	1.13	4198	
2006-09	1.1	6292	
2006-12	1.17	7455	
2007-03	2.1	7418	
2007-06	3.52	7346	
2007-09	4.25	8837	
2007-12	3.53	6993	
2008-03	3.66	6993	
2008-06	3.66	12584	
2008-09	3.66	12586	
2008-12	3.14	10879	
2009-03	4.5	10565	
2009-06	5.41	9143	
2009-09	6.54	13449	
2009-12	6.92	22320	
2010-03	6.39	13953	
2010-06	5.86	16103	
2010-09	7.69	12865	
2010-12	9.45	9672	
2011-03	8.38	8537	
2011-06	8.7	7615	
2011-09	7.21	7584	
2011-12	5.55	7294	
2012-03	5.89	7641	
2012-06	6.47	7665	
2012-09	7.03	7646	
2012-12	5.37	7504	
2013-03	5.51	8274	
2013-06	4.74	8836	
2013-09	4.91	9609	
2013-12	4.65	10226	
2014-03	4.8	9656	
2014-06	4.4	10080	
2014-09	4.43	10113	
2014-12	5.24	8093	
2015-03	10.12	12255	
2015-06	21.51	8355	
2015-09	9.1	8183	
2015-12	16.04	7956	
2016-03	10.28	8714	
2016-06	11.21	10706	
2016-09	11.98	11714	
2016-12	11.52	12092	
2017-03	12.32	11721	
2017-06	10.23	11888	
2017-09	14.19	11193	
2017-12	13.48	15863	
2018-03	12.41	17709	
2018-06	10.64	18251	
2018-09	9.06	19155	
2018-12	8.64	19809	
2019-03	9.44	17429	
2019-06	5.71	12102	
2019-07	6.72	14219	
2019-08	7.17	16047	
2019-09	6.83	17053.5	
2019-12	5.83	17056	
2020-03	4.75	16578	
2020-06	4.48	20755	
2020-09	5.78	25857	
2020-12	5.87	26519	
2021-01	6.22	26138	
2021-03	6.95	24012	
2021-06	15.93	11800	
2021-08	21.9	8824	
2021-09	22.85	10244	
2021-12	25.17	12084	
2022-03	25.9	35992	
2022-05	21.55	31616	
2022-06	24.81	41724	
2022-07	27.34	35095	
2022-08	25.72	34373	
2022-09	24.52	36206.5	
2022-11	24.44	37868	
2022-12	21.86	34158	
2023-01	21.73	34383	
2023-03	21.1	33480	
2023-05	19.46	33266	
2023-06	19.47	33681	
2023-07	19.55	34840	
2023-09	20.42	37866	
2023-12	21.14	41883	
2024-03	26.1	52656	
2024-05	24.82	45618	
2024-06	22.36	45612	
2024-07	21.42	43527	
2024-08	20.35	43840	
2024-09	21.97	46560	
2024-10	24.96	46284	
2024-12	25.05	50721	
