month	ct_avg_前复权价格	deviate_avg_100_ct_avg_前复权价格
2018-06	1.71	0.46	
2018-07	1.67	0.44	
2018-08	1.51	0.29	
2018-09	1.45	0.24	
2018-10	1.34	0.14	
2018-11	1.43	0.21	
2018-12	1.27	0.08	
2019-01	1.16	-0.02	
2019-02	1.25	0.06	
2019-03	1.4	0.19	
2019-04	1.46	0.24	
2019-05	1.31	0.11	
2019-06	1.26	0.07	
2019-07	1.26	0.07	
2019-08	1.3	0.1	
2019-09	1.36	0.15	
2019-10	1.33	0.13	
2019-11	1.31	0.1	
2019-12	1.28	0.08	
2020-01	1.34	0.13	
2020-02	1.45	0.21	
2020-03	1.34	0.12	
2020-04	1.39	0.15	
2020-05	1.29	0.06	
2020-06	1.31	0.07	
2020-07	1.43	0.16	
2020-08	1.67	0.35	
2020-09	1.55	0.24	
2020-10	1.53	0.22	
2020-11	1.5	0.19	
2020-12	1.42	0.12	
2021-01	1.4	0.09	
2021-02	1.37	0.07	
2021-03	1.42	0.1	
2021-04	1.49	0.15	
2021-05	1.62	0.24	
2021-06	1.58	0.21	
2021-07	1.47	0.11	
2021-08	1.44	0.08	
2021-09	1.48	0.11	
2021-10	1.42	0.06	
2021-11	1.38	0.02	
2021-12	1.43	0.06	
2022-01	1.5	0.1	
2022-02	1.44	0.05	
2022-03	1.61	0.18	
2022-04	1.47	0.07	
2022-05	1.41	0.02	
2022-06	1.36	-0.02	
2022-07	1.35	-0.03	
2022-08	1.3	-0.07	
2022-09	1.31	-0.06	
2022-10	1.32	-0.06	
2022-11	1.44	0.02	
2022-12	1.46	0.03	
2023-01	1.42	0	
2023-02	1.47	0.03	
2023-03	1.57	0.1	
2023-04	1.67	0.16	
2023-05	1.72	0.19	
2023-06	1.7	0.17	
2023-07	1.64	0.13	
2023-08	1.53	0.06	
2023-09	1.42	-0.02	
2023-10	1.39	-0.03	
2023-11	1.43	-0.01	
2023-12	1.36	-0.06	
2024-01	1.31	-0.09	
2024-02	1.4	-0.03	
2024-03	1.41	-0.03	
2024-04	1.39	-0.04	
2024-05	1.45	0	
2024-06	1.49	0.02	
2024-07	1.55	0.06	
2024-08	1.56	0.07	
2024-09	1.55	0.05	
2024-10	1.68	0.14	
2024-11	1.7	0.15	
2024-12	1.75	0.18	
2025-01	1.63	0.1	
