month	ct_avg_Tdx收盘价	股东人数
1993-12	17.41	34609	
1994-12	7.91	22985	
1995-12	6.47	38346	
1996-12	11.63	15703	
1997-12	5.59	48505	
1998-12	5.99	41558	
1999-06	7.33	29956	
1999-12	8.47	33947	
2000-12	22.32	6139	
2001-06	14.24	16050	
2001-12	13.93	10894	
2002-06	8.54	19223	
2002-09	10.21	16268	
2002-12	9.09	14917	
2003-03	10.68	11993	
2003-06	12.19	9641	
2003-09	11.62	8370	
2003-12	14.41	6771	
2004-03	19.59	5534	
2004-06	10.35	6803	
2004-09	6.56	13402	
2004-12	6.89	11331	
2005-03	7.63	11132	
2005-06	6.65	8929	
2005-09	6.48	16208	
2005-12	5.16	16022	
2006-03	5.57	17997	
2006-06	8.06	15574	
2006-09	7.26	14916	
2006-12	13.36	10215	
2007-03	18.85	11706	
2007-06	28.82	12042	
2007-09	34.11	20203	
2007-12	31.28	16022	
2008-03	30.81	26512	
2008-06	7.7	76846	
2008-09	5.33	74606	
2008-12	4.55	75192	
2009-03	6.1	67182	
2009-06	8.49	99896	
2009-09	10.64	56029	
2009-12	14.28	72845	
2010-03	12.37	117430	
2010-06	8.97	146207	
2010-09	11.61	115005	
2010-12	10.93	149478	
2011-03	12.53	149714	
2011-06	9.96	180047	
2011-09	9.08	165019	
2011-12	7.91	160193	
2012-03	8.64	149117	
2012-06	8.36	143557	
2012-09	7.09	141363	
2012-12	7.8	130767	
2013-03	8.23	128614	
2013-06	7.7	125446	
2013-09	7.92	122539	
2013-12	8.64	114700	
2014-03	7.87	121947	
2014-06	8.2	109872	
2014-09	10.26	94462	
2014-12	12.26	86876	
2015-03	15.52	502	
2015-06	16.17	83	
2015-09	12.1	77	
2015-12	15.22	73	
2016-03	14.3	73	
2016-06	14.1	69	
2016-09	16.43	70	
2016-12	18.28	67	
2017-03	20.99	65	
2017-06	25.55	62	
2017-09	24.05	62	
2017-12	27.81	61	
2018-03	25.98	97378	
2018-06	25.37	58	
2018-09	24.69	57	
2018-12	22.24	56	
2019-03	24.38	56	
2019-06	21.79	55	
2019-09	22.31	54	
2020-06	21.07	53	
2020-12	41.59	46	
2021-03	46.66	45	
2021-06	55.68	44	
2021-09	45.38	44	
2021-12	46.28	44	
2022-03	37.99	45	
2022-06	42.44	45	
2022-09	38.92	44	
2022-12	36.24	44	
2023-03	35.25	44	
2023-06	33.89	43	
2023-09	38.22	44	
2023-12	37.14	43	
2024-03	43.61	43	
2024-06	46.63	43	
2024-09	50.56	43	
