month	ct_avg_前复权价格	股东人数
2007-12	1.17	44256	
2008-03	1	35602	
2008-06	0.68	33980	
2008-09	0.65	31636	
2008-12	0.71	34302	
2009-03	0.67	34225	
2009-06	0.79	33208	
2009-09	0.75	31636	
2009-12	0.79	30814	
2010-03	0.71	30368	
2010-06	0.55	30116	
2010-12	0.55	28189	
2011-06	0.5	27713	
2011-12	0.35	27534	
2012-06	0.33	27304	
