month	ct_avg_Tdx收盘价	人均持股
2007-12	9.43	95069	
2008-03	8.11	118178	
2008-06	5.56	123820	
2008-09	5.22	132994	
2008-12	5.72	122657	
2009-03	5.41	122933	
2009-06	6.33	126698	
2009-09	6.06	132994	
2009-12	6.35	136542	
2010-03	5.76	138547	
2010-06	4.48	139706	
2010-12	4.41	149256	
2011-06	3.99	151820	
2011-12	2.73	152807	
2012-06	2.63	154094	
