month	ct_avg_前复权价格	人均持股
2007-12	1.17	95069	
2008-03	1	118178	
2008-06	0.68	123820	
2008-09	0.65	132994	
2008-12	0.71	122657	
2009-03	0.67	122933	
2009-06	0.79	126698	
2009-09	0.75	132994	
2009-12	0.79	136542	
2010-03	0.71	138547	
2010-06	0.55	139706	
2010-12	0.55	149256	
2011-06	0.5	151820	
2011-12	0.35	152807	
2012-06	0.33	154094	
