month	ct_avg_前复权价格	股东人数
1996-12	0.91	19965	
1997-12	0.5	24519	
1998-12	0.66	16958	
1999-12	0.78	14189	
2000-12	1.57	10203	
2001-12	1.26	9879	
2002-06	1.26	10327	
2002-09	1.3	9779	
2002-12	1.07	9757	
2003-03	1.1	10630	
2003-06	1.05	10421	
2003-09	0.95	10383	
2003-12	0.92	10350	
2004-03	1.18	9182	
2004-06	1.45	7595	
2004-09	1.51	6716	
2004-12	2.06	5879	
2005-03	2.2	6026	
2005-06	2.18	4887	
2005-09	2.35	5553	
2005-12	1.97	6011	
2006-03	2.17	7844	
2006-06	3.89	5668	
2006-09	3	7017	
2006-12	3.53	9241	
2007-03	5.15	12018	
2007-06	9.07	6338	
2007-09	14.04	8689	
2007-12	9.53	27819	
2008-03	6.91	30893	
2008-06	3.72	33969	
2008-09	2.23	31201	
2008-12	2.12	31861	
2009-03	2.96	30784	
2009-06	4.62	30409	
2009-09	4.2	37971	
2009-12	5.02	33563	
2010-03	4.58	31597	
2010-06	3.49	29899	
2010-09	4.67	27732	
2010-12	6.76	22870	
2011-03	7.97	21623	
2011-06	5.97	24944	
2011-09	4.68	25336	
2011-12	3.4	25173	
2012-03	3.87	24444	
2012-06	3.65	25431	
2012-09	3.03	24299	
2012-12	2.58	24392	
2013-03	2.72	26119	
2013-06	2.5	22779	
2013-09	2.45	22741	
2013-12	2.4	22639	
2014-03	2.82	22330	
2014-06	2.44	21931	
2014-09	3.51	22082	
2014-12	3.45	19572	
2015-03	4.01	18801	
2015-06	6.32	20887	
2015-09	3.93	22905	
2015-12	4.96	16510	
2016-03	3.74	16801	
2016-06	4.34	14952	
2016-09	4.99	15823	
2016-12	5.95	15533	
2017-03	6.66	23326	
2017-04	6.3	22188	
2017-06	5.07	20081	
2017-09	5.79	17694	
2017-12	4.72	18529	
2018-01	4.94	18651.5	
2018-02	4.5	18306.5	
2018-03	4.66	17974	
2018-04	4.47	18526	
2018-05	4.39	17906	
2018-06	3.87	17784	
2018-08	3.69	17462	
2018-09	3.78	17153	
2018-10	3.52	16981.33	
2018-11	3.85	16818.67	
2018-12	3.67	16771.5	
2019-03	4.75	21119	
2019-06	4.2	18268	
2019-09	4.5	16600	
2019-12	4.1	16944	
2020-03	3.57	16936	
2020-06	3.57	16787	
2020-09	3.52	26471	
2020-12	3.43	25631	
2021-01	3.32	25080	
2021-02	3.19	25035.33	
2021-03	3.25	37489	
2021-04	3.17	50812.33	
2021-05	3.03	46766.67	
2021-06	3.04	44141.33	
2021-07	2.86	42125	
2021-08	2.7	42011.67	
2021-09	2.84	41624.5	
2021-12	2.63	44763	
2022-03	2.69	48046	
2022-06	2.52	45768	
2022-09	2.58	49934	
2022-12	3.46	89999	
2023-03	3.53	161406	
2023-06	4.01	193073	
2023-09	3.51	161474	
2023-12	2.94	147321	
2024-03	3.17	142705	
2024-06	3.03	137210	
2024-09	3	157361	
