month	ct_avg_前复权价格	人均持股
1996-12	0.91	1127	
1997-12	0.5	1326	
1998-12	0.66	1916	
1999-12	0.78	2291	
2000-12	1.57	3185	
2001-12	1.26	3290	
2002-06	1.26	3147	
2002-09	1.3	3323	
2002-12	1.07	3331	
2003-03	1.1	3057	
2003-06	1.05	3119	
2003-09	0.95	3130	
2003-12	0.92	3140	
2004-03	1.18	3540	
2004-06	1.45	4279	
2004-09	1.51	7743	
2004-12	2.06	8845	
2005-03	2.2	8629	
2005-06	2.18	10640	
2005-09	2.35	11237	
2005-12	1.97	10381	
2006-03	2.17	7955	
2006-06	3.89	11009	
2006-09	3	10671	
2006-12	3.53	8103	
2007-03	5.15	7975	
2007-06	9.07	15122	
2007-09	14.04	11031	
2007-12	9.53	3445	
2008-03	6.91	3490	
2008-06	3.72	3174	
2008-09	2.23	3456	
2008-12	2.12	3384	
2009-03	2.96	3503	
2009-06	4.62	3940	
2009-09	4.2	3786	
2009-12	5.02	4284	
2010-03	4.58	4550	
2010-06	3.49	9617	
2010-09	4.67	10368	
2010-12	6.76	12573	
2011-03	7.97	13298	
2011-06	5.97	11527	
2011-09	4.68	11349	
2011-12	3.4	11422	
2012-03	3.87	11763	
2012-06	3.65	11307	
2012-09	3.03	11833	
2012-12	2.58	11788	
2013-03	2.72	11009	
2013-06	2.5	12623	
2013-09	2.45	12644	
2013-12	2.4	12701	
2014-03	2.82	12877	
2014-06	2.44	13111	
2014-09	3.51	13021	
2014-12	3.45	14691	
2015-03	4.01	15294	
2015-06	6.32	13766	
2015-09	3.93	12554	
2015-12	4.96	17416	
2016-03	3.74	17114	
2016-06	4.34	19231	
2016-09	4.99	18172	
2016-12	5.95	18512	
2017-03	6.66	12327	
2017-04	6.3	12959	
2017-06	5.07	5728	
2017-09	5.79	6500	
2017-12	4.72	6207	
2018-01	4.94	10727.5	
2018-02	4.5	15707	
2018-03	4.66	15998	
2018-04	4.47	15526.5	
2018-05	4.39	16058	
2018-06	3.87	16169.5	
2018-08	3.69	16468.5	
2018-09	3.78	16763.33	
2018-10	3.52	16932.67	
2018-11	3.85	17097.33	
2018-12	3.67	17144.5	
2019-03	4.75	13615	
2019-06	4.2	15740	
2019-09	4.5	17322	
2019-12	4.1	16970	
2020-03	3.57	120759	
2020-06	3.57	121831	
2020-09	3.52	477582	
2020-12	3.43	493234	
2021-01	3.32	504070	
2021-02	3.19	505008.67	
2021-03	3.25	391948.67	
2021-04	3.17	249356.67	
2021-05	3.03	270331.67	
2021-06	3.04	286496.33	
2021-07	2.86	300188	
2021-08	2.7	300923	
2021-09	2.84	303721.5	
2021-12	2.63	282423	
2022-03	2.69	263124	
2022-06	2.52	276221	
2022-09	2.58	253176	
2022-12	3.46	140469	
2023-03	3.53	78325	
2023-06	4.01	65478	
2023-09	3.51	78292	
2023-12	2.94	85813	
2024-03	3.17	88589	
2024-06	3.03	92137	
2024-09	3	80338	
