month	ct_avg_Tdx收盘价	股东人数
2014-07	27.36	46806	
2014-09	26.61	21698	
2014-12	28.2	19138	
2015-03	28.43	17105	
2015-06	43.25	17174	
2015-09	26.54	15606	
2015-12	34.24	15070	
2016-03	28.82	16082	
2016-06	13.02	29796	
2016-09	13.39	35420	
2016-12	13.66	44333	
2017-03	13.85	35224	
2017-06	12.62	33600	
2017-09	15.94	40782	
2017-12	14.6	41698	
2018-03	16.28	30296	
2018-06	22.81	27407	
2018-09	18.09	31709	
2018-12	15.39	36906	
2019-03	25.01	27109	
2019-06	25.21	27585	
2019-09	31.15	25245	
2019-12	30.3	30061	
2020-03	29.39	38563	
2020-06	37.8	28760	
2020-09	47.55	45322	
2020-12	54.05	51160	
2021-03	46.37	61652	
2021-06	55.96	63989	
2021-09	44.29	78555	
2021-12	57.51	62090	
2022-03	45.83	61053	
2022-06	48.5	56673	
2022-09	43.43	56691	
2022-12	48.15	46344	
2023-03	61.74	31258	
2023-06	56.01	35175	
2023-09	61.82	33677	
2023-12	48.4	45871	
2024-03	56.1	31003	
2024-06	49.67	37654	
2024-09	39.47	44123	
