month	ct_avg_前复权价格	股东人数
2014-07	1.12	46806	
2014-09	1.09	21698	
2014-12	1.16	19138	
2015-03	1.17	17105	
2015-06	1.79	17174	
2015-09	1.1	15606	
2015-12	1.42	15070	
2016-03	1.2	16082	
2016-06	1.37	29796	
2016-09	1.4	35420	
2016-12	1.43	44333	
2017-03	1.45	35224	
2017-06	1.34	33600	
2017-09	1.7	40782	
2017-12	1.55	41698	
2018-03	1.73	30296	
2018-06	2.46	27407	
2018-09	1.95	31709	
2018-12	1.66	36906	
2019-03	2.7	27109	
2019-06	2.75	27585	
2019-09	3.4	25245	
2019-12	3.31	30061	
2020-03	3.21	38563	
2020-06	4.13	28760	
2020-09	5.24	45322	
2020-12	5.96	51160	
2021-03	5.11	61652	
2021-06	6.18	63989	
2021-09	4.92	78555	
2021-12	6.39	62090	
2022-03	5.04	61053	
2022-06	5.46	56673	
2022-09	4.89	56691	
2022-12	5.42	46344	
2023-03	6.95	31258	
2023-06	6.36	35175	
2023-09	7.05	33677	
2023-12	5.52	45871	
2024-03	6.4	31003	
2024-06	5.74	37654	
2024-09	4.59	44123	
