month	ct_avg_前复权价格	人均持股
2016-10	1.1	1108	
2016-12	1.08	2394	
2017-03	1.08	3081	
2017-06	1.04	4391	
2017-09	0.99	4679	
2017-12	0.79	16847	
2018-03	0.79	16657	
2018-06	0.78	17698	
2018-09	0.76	24822	
2018-12	0.75	25350	
2019-03	0.86	25771	
2019-06	0.82	26620	
2019-07	0.84	26645	
2019-09	0.85	28323	
2019-12	0.91	70525	
2020-03	0.84	68991	
2020-06	0.91	85447	
2020-09	1.31	84078	
2020-12	1.53	89327	
2021-03	1.79	94305	
2021-06	1.62	85843	
2021-09	1.6	103821	
2021-12	1.46	88766	
2022-03	1.49	107614	
2022-06	1.5	115681	
2022-09	1.57	122785	
2022-12	1.44	112614	
2023-03	1.29	73427	
2023-06	1.32	101901	
2023-09	1.3	94292	
2023-12	1.11	91541	
2024-03	1.25	97666	
2024-06	1.49	110865	
2024-09	1.48	116526	
