month	ct_avg_Tdx收盘价	人均持股
2006-12	7.87	4611	
2007-03	9.1	4983	
2007-06	11.2	3980	
2007-09	13.12	3769	
2007-12	11.95	5785	
2008-03	9.35	5694	
2008-06	7.05	5872	
2008-09	4.79	5994	
2008-12	4.27	5917	
2009-03	5.07	5652	
2009-06	5.68	6324	
2009-09	5.14	6250	
2009-12	5.67	14513	
2010-03	5.68	15088	
2010-06	4.47	15336	
2010-09	4.55	15925	
2010-12	4.27	16189	
2011-03	4.38	16552	
2011-06	3.87	16790	
2011-09	3.41	16975	
2011-12	3	17246	
2012-03	3.14	17549	
2012-06	3.28	18054	
2012-09	2.57	18040	
2012-12	2.46	20000	
2013-03	2.54	20301	
2013-06	2.12	20186	
2013-09	2.65	19606	
2013-12	2.48	20019	
2014-03	2.28	20618	
2014-06	2.35	21060	
2014-09	3.21	22292	
2014-12	5.4	21108	
2015-03	6.39	24348	
2015-06	10.11	17954	
2015-09	6.67	16744	
2015-12	7.26	19476	
2016-03	5.09	19754	
2016-06	4.76	21286	
2016-09	5.18	22559	
2016-12	5.2	22966	
2017-02	5.22	23266	
2017-03	5.31	23510	
2017-04	5.36	24222	
2017-09	5.11	24045	
2017-12	4.43	25213	
2018-03	3.95	26468	
2018-06	3.65	27249	
2018-09	3.45	27952	
2018-12	3.98	28803	
2019-03	4.69	30697	
2019-06	4.13	31432	
2019-09	4.77	36794	
2019-12	6.96	37274	
2020-03	6	33586	
2020-06	5.86	32271	
2020-09	6.06	29267	
2020-12	5.72	29799	
2021-02	4.91	32558	
2021-03	5.29	33480	
2021-05	5.37	36174	
2021-06	5.18	43716	
2021-09	5.2	49824	
2021-11	4.29	48711	
2021-12	4.23	45025	
2022-01	4.04	50819	
2022-02	4.38	55205	
2022-03	4.37	56108	
2022-04	5.09	60281	
2022-05	5.67	63856	
2022-06	6.09	59149	
2022-07	6.18	71092	
2022-08	7.37	72264	
2022-09	7.52	66871	
2022-12	5.99	51284	
2023-03	7.38	74252	
2023-06	5.89	65303	
2023-07	6.28	74723	
2023-09	6.18	81860	
2023-11	6.17	75464	
2023-12	5.87	74516	
2024-01	6.47	84614.5	
2024-03	7.6	93467	
2024-06	8.62	94910	
2024-07	8.16	97897.5	
2024-08	7.88	99852.67	
2024-09	6.87	90255.67	
2024-10	7.14	74445	
2024-11	6.71	69948	
2024-12	6.38	62218	
2025-01	6.67	70319	
