month	ct_avg_Tdx收盘价	人均持股
2002-06	7.2	1497925	
2002-09	7.33	1719048	
2002-12	6.58	1752427	
2003-03	7.09	1972678	
2003-06	7.9	2242236	
2003-09	8.21	2597122	
2003-12	11.44	4289109	
2004-03	15.27	4760440	
2004-06	12.35	4708696	
2004-12	8.8	4979310	
2005-03	7.35	4560000	
2005-06	6.59	4247059	
2005-09	7.12	4247059	
2005-12	8.92	5037209	
2006-03	9.9	5625974	
2006-06	12.92	6768750	
2006-12	27.16	7101639	
2007-06	53.54	7101639	
2007-12	68.09	8664000	
2008-06	46.81	8840816	
2008-12	26.85	5934247	
2009-06	41.3	6987097	
2009-12	47.71	6465672	
2010-06	26.54	10438554	
2010-12	28.58	11868493	
2011-06	31.23	16450633	
2011-12	15.84	12145794	
2012-06	15.93	10153125	
2012-12	18.04	10314286	
2013-06	14.43	9996923	
2013-12	17.53	10153125	
2014-06	16.12	11603571	
2014-12	19.8	10830000	
2015-06	25.02	12145794	
2015-12	17.14	10921008	
2016-06	14.51	9486131	
2016-12	17.68	9417391	
2017-02	20.53	9845455	
2017-06	21.56	10480645	
2017-12	29.51	12260377	
2018-06	35.16	13825532	
2018-12	30.65	14281319	
2019-03	36.58	48497	
2019-06	40.09	14281319	
2019-12	49.1	14768182	
2020-06	55.68	15471429	
2020-12	52.88	15471429	
2021-06	45.22	13974194	
2021-12	40.02	13825532	
2022-06	35.48	13537500	
2022-12	28.71	12260377	
2023-06	25.19	11708108	
2023-12	22	11203448	
