month	ct_avg_Tdx收盘价	人均持股
2021-07	67.12	1474	
2021-09	74.76	4350	
2021-12	63.48	4683	
2022-03	57.68	5451	
2022-06	66.98	5395	
2022-09	53.35	5928	
2022-12	51.66	5803	
2023-03	48.59	7461	
2023-06	42	8971	
2023-09	40.37	9897	
2023-12	28.86	10135	
2024-03	28.8	11170	
2024-06	24.03	11708	
2024-09	19.32	13466	
