month	ct_avg_Tdx收盘价	股东人数
2021-07	67.12	134692	
2021-09	74.76	45634	
2021-12	63.48	43597	
2022-03	57.68	38525	
2022-06	66.98	40637	
2022-09	53.35	48418	
2022-12	51.66	50876	
2023-03	48.59	67875	
2023-06	42	56673	
2023-09	40.37	51773	
2023-12	28.86	51300	
2024-03	28.8	46546	
2024-06	24.03	44408	
2024-09	19.32	41026	
