month	ct_avg_前复权价格	股东人数
2021-07	1.1	134692	
2021-09	1.22	45634	
2021-12	1.04	43597	
2022-03	0.95	38525	
2022-06	1.11	40637	
2022-09	0.88	48418	
2022-12	0.85	50876	
2023-03	0.8	67875	
2023-06	0.75	56673	
2023-09	0.72	51773	
2023-12	0.52	51300	
2024-03	0.51	46546	
2024-06	0.43	44408	
2024-09	0.35	41026	
