month	ct_avg_Tdx收盘价	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx收盘价	ct_avg_noise_avg_Tdx平均成交价
2018-09	1403.35	10.8	-0.06	-0.5	-97.84	-98.35	
2018-10	1274.68	10.49	-0.15	-0.51	-98.31	-91.86	
2018-11	1348.39	10.14	-0.1	-0.52	-84.9	-93.75	
2018-12	1310.65	9.95	-0.13	-0.53	-87.95	-92.9	
2019-01	1253.39	9.66	-0.17	-0.53	-94.16	-91.03	
2019-02	1415.56	10.3	-0.06	-0.5	-62.74	-74.47	
2019-03	1675.15	11.76	0.1	-0.42	-2.21	-31.76	
2019-04	1705.92	11.95	0.12	-0.4	28.4	-9.31	
2019-05	1491.68	11.22	-0.02	-0.43	9.11	-15.67	
2019-06	1477	11.39	-0.04	-0.41	-2.87	1.97	
2019-07	1543.03	12.23	0	-0.36	22.36	29.74	
2019-08	1572.03	12.76	0.02	-0.33	37.66	49.27	
2019-09	1683.44	13.52	0.09	-0.28	68.3	64.78	
2019-10	1661.87	13.02	0.07	-0.31	71.43	59.57	
2019-11	1690.57	14.18	0.08	-0.24	83.08	77.98	
2019-12	1749.18	13.81	0.11	-0.26	87.5	75.97	
2020-01	1913.57	14.07	0.21	-0.24	95.42	77.73	
2020-02	2090.3	14.94	0.31	-0.19	97.59	90.45	
2020-03	2001.43	14.26	0.24	-0.22	84.09	78.49	
2020-04	1989.44	13.69	0.23	-0.25	81.55	46.47	
2020-05	2102.97	15.32	0.29	-0.16	90.77	79.12	
2020-06	2247.58	15.4	0.36	-0.16	97.14	87.5	
2020-07	2683.49	17.27	0.61	-0.05	97.05	95.92	
2020-08	2710.16	16.14	0.6	-0.11	89.8	79.08	
2020-09	2598.75	13.54	0.52	-0.25	78.33	24.19	
2020-10	2697.61	16.07	0.56	-0.12	84.49	58.76	
2020-11	2692.41	17.44	0.54	-0.04	82.06	79.46	
2020-12	2779.8	18.26	0.57	0	89.67	88.43	
2021-01	3172.65	20.63	0.77	0.13	97.14	92.95	
2021-02	3185.89	20.38	0.75	0.11	93.93	90.12	
2021-03	2753.58	17.27	0.5	-0.06	54.74	53.96	
2021-04	2883.45	18.49	0.55	0	52.64	59.06	
2021-05	3089.55	17.93	0.64	-0.03	81.55	48.61	
2021-06	3277.45	17.54	0.72	-0.05	90.65	26.02	
2021-07	3430.46	18.88	0.77	0.02	91.72	42.9	
2021-08	3358.04	19.34	0.71	0.04	82.79	65.83	
2021-09	3197.6	18.02	0.61	-0.03	60.09	33.62	
2021-10	3269.21	19.8	0.63	0.06	62.28	58.76	
2021-11	3418.46	19.32	0.69	0.04	83.36	64.53	
2021-12	3399.93	17.82	0.66	-0.04	77.87	36.06	
2022-01	3077.37	16.9	0.49	-0.09	19.55	-40.89	
2022-02	2824.36	17.28	0.36	-0.07	-22.88	-55.02	
2022-03	2685.3	17.31	0.28	-0.07	-45.6	-47.26	
2022-04	2414.63	15.57	0.15	-0.16	-66.92	-77.3	
2022-05	2337.18	15.32	0.1	-0.17	-73.87	-86.89	
2022-06	2640.82	16.87	0.24	-0.09	-61.99	-59.99	
2022-07	2762.98	18.01	0.29	-0.02	-50.68	-19.18	
2022-08	2691.47	17.93	0.25	-0.03	-49.38	2.56	
2022-09	2425.69	18.04	0.12	-0.02	-75.51	22.92	
2022-10	2350.51	18.06	0.08	-0.02	-82.03	40.9	
2022-11	2376.14	16.99	0.09	-0.08	-80.19	-4.3	
2022-12	2362.18	16.54	0.08	-0.1	-79.71	-43.87	
2023-01	2487.89	18.14	0.13	-0.02	-58.48	-8.93	
2023-02	2514.7	15.86	0.13	-0.14	-27.68	-49.87	
2023-03	2368.61	16.61	0.06	-0.1	-63.59	-51.79	
2023-04	2388.27	18.43	0.07	0.01	-57.85	11.61	
2023-05	2259.4	17.24	0.01	-0.06	-85.09	4.64	
2023-06	2194.89	18.12	-0.02	-0.01	-86.43	40.58	
2023-07	2199.25	17.77	-0.02	-0.02	-90.09	47.19	
2023-08	2152.11	17.63	-0.04	-0.02	-88.9	24.96	
2023-09	2034.55	16.81	-0.09	-0.05	-98.21	-29.91	
2023-10	1943.24	15.82	-0.12	-0.1	-98	-56.99	
2023-11	1977.03	15.77	-0.1	-0.09	-89.28	-67.53	
2023-12	1861.35	16.07	-0.15	-0.07	-97.66	-64.8	
2024-01	1723.86	15.01	-0.22	-0.13	-98.86	-81.62	
2024-02	1704.22	12.41	-0.22	-0.28	-90.88	-92.41	
2024-03	1856.18	15.14	-0.15	-0.11	-68.54	-73.64	
2024-04	1802.13	13.94	-0.17	-0.17	-74.11	-87.14	
2024-05	1852.38	13.93	-0.15	-0.17	-50	-83.97	
2024-06	1774.07	14.02	-0.18	-0.16	-70.07	-77.87	
2024-07	1670.67	13.03	-0.23	-0.22	-85.25	-87.5	
2024-08	1585.14	10.91	-0.26	-0.34	-96.1	-97.12	
2024-09	1613.35	11.23	-0.25	-0.31	-90.6	-87.78	
2024-10	2190.17	17.25	0.02	0.06	-9.82	-24.11	
2024-11	2257.22	17	0.05	0.05	36.39	11.01	
2024-12	2222.64	16.91	0.03	0.05	66.48	37.05	
2025-01	2051.4	17.24	-0.05	0.07	58.53	56.3	
2025-02	2138.93	18.59	0	0.15	67.5	76.96	
