month	ct_avg_前复权价格	股东人数
2001-12	1.02	46194	
2002-06	1	36556	
2002-09	0.92	39597	
2002-12	0.83	36998	
2003-03	0.84	36706	
2003-06	0.8	38846	
2003-09	0.74	37305	
2003-12	0.84	32349	
2004-03	1.15	21736	
2004-06	1.21	16556	
2004-09	1.44	13478	
2004-12	1.66	11769	
2005-03	2.12	10017	
2005-06	2.24	8880	
2005-09	2.76	9482	
2005-12	2.42	9333	
2006-03	3.45	8993	
2006-06	5.6	38655	
2006-09	5.51	26440	
2006-12	9.38	23572	
2007-03	11.67	20570	
2007-06	14.21	22879	
2007-09	17.82	28506	
2007-12	24.63	24973	
2008-03	24.45	27636	
2008-06	18.33	25200	
2008-09	15.87	26369	
2008-12	13.75	27558	
2009-03	14.26	45397	
2009-06	16.14	31559	
2009-09	20.03	29119	
2009-12	21.12	42780	
2010-03	19.85	46657	
2010-06	16.53	63300	
2010-09	20.54	39850	
2010-12	24.13	55085	
2011-03	22.53	55933	
2011-06	25.68	40174	
2011-09	27.61	44486	
2011-12	27.59	45694	
2012-03	27.94	40079	
2012-06	33.12	38867	
2012-09	33.22	40442	
2012-12	28.99	49870	
2013-03	24.45	68539	
2013-06	27.89	53045	
2013-09	21.1	75369	
2013-12	19.19	73255	
2014-03	23.58	57343	
2014-06	22.52	56552	
2014-09	26.46	52957	
2014-12	29.33	43303	
2015-03	31.65	40440	
2015-06	42.16	42802	
2015-09	35.92	46869	
2015-12	40.1	39909	
2016-03	43.04	39756	
2016-06	51.04	42194	
2016-09	56.29	53437	
2016-12	61.5	52048	
2017-03	70.61	68033	
2017-06	87.76	80670	
2017-09	94.56	63980	
2017-12	126.16	84984	
2018-03	137.83	99429	
2018-06	146.99	88019	
2018-09	129.77	88932	
2018-12	113.08	107654	
2019-03	151.08	80594	
2019-06	180.01	88000	
2019-09	223.55	89062	
2019-12	226.27	96747	
2020-03	213.95	100851	
2020-06	280.11	98717	
2020-09	339.32	114267	
2020-12	365.15	108662	
2021-03	402.13	136536	
2021-06	428.35	146298	
2021-09	338.05	175267	
2021-12	413.74	153535	
2022-03	347.31	165128	
2022-06	383.55	146013	
2022-09	376.78	145225	
2022-12	350.62	167516	
2023-03	365.27	156190	
2023-06	349.93	161750	
2023-09	380.75	150025	
2023-12	353.45	161640	
2024-03	358.68	161009	
2024-06	328.79	199209	
2024-09	300.18	201582	
