month	ct_avg_前复权价格	股东人数
1996-12	1.01	31327	
1997-12	1.18	37437	
1998-12	0.96	64019	
1999-12	1.14	57409	
2000-12	1.67	83197	
2001-12	1.31	107152	
2002-06	1.23	99634	
2002-09	1.29	98634	
2002-12	1.1	97633	
2003-03	1.16	95223	
2003-06	1.39	84549	
2003-09	1.26	82097	
2003-12	1.56	72919	
2004-03	2.18	35329	
2004-06	1.82	34704	
2004-09	1.76	35099	
2004-12	1.49	41171	
2005-03	1.5	50869	
2005-06	1.27	51651	
2005-09	1.48	47518	
2005-12	1.42	49852	
2006-03	1.7	61454	
2006-06	2.25	84859	
2006-09	2.12	86168	
2006-12	2.45	95829	
2007-03	3.87	107798	
2007-06	7.93	182871	
2007-09	10.69	217393	
2007-12	9.1	258744	
2008-03	7.22	260470	
2008-06	4.57	246924	
2008-09	2.97	237351	
2008-12	2.88	233096	
2009-03	4.22	220086	
2009-06	7.5	199917	
2009-09	6.69	230180	
2009-12	8.32	203574	
2010-03	7.18	209201	
2010-06	6.15	202883	
2010-09	6.57	189490	
2010-12	11.16	112662	
2011-03	11.19	201797	
2011-06	8.76	206348	
2011-09	8.18	200266	
2011-12	6.79	203166	
2012-03	8.03	192058	
2012-06	7.91	185529	
2012-09	7.16	179523	
2012-12	6.89	177885	
2013-03	6.61	188659	
2013-06	5.08	186111	
2013-09	4.58	184071	
2013-12	4.02	179524	
2014-03	3.41	177136	
2014-06	3.58	172022	
2014-09	4.34	159333	
2014-12	5.78	155369	
2015-03	6.62	137474	
2015-06	6.65	136449	
2015-09	6.65	136361	
2015-12	7.43	567681	
2016-03	5.67	555886	
2016-06	5.08	530490	
2016-09	5.17	508178	
2016-12	6.44	436995	
2017-03	6.37	444209	
2017-06	5.45	459341	
2017-09	6.18	451407	
2017-12	5.49	450152	
2018-03	5.37	441196	
2018-06	4.71	430318	
2018-09	4.25	423935	
2018-12	4.06	417029	
2019-03	5.25	435532	
2019-04	5.29	427114	
2019-06	4.93	408025	
2019-08	4.55	403703	
2019-09	4.56	398373	
2019-10	4.42	397099	
2019-11	4.35	392570	
2019-12	4.48	387251	
2020-03	4.18	371041.5	
2020-06	3.92	361815	
2020-07	4.52	357918	
2020-08	4.71	353416.33	
2020-09	4.7	345928	
2020-12	5.2	332435	
2021-03	5.81	365171	
2021-06	5.74	348249	
2021-08	7.66	298980	
2021-09	9.21	385493	
2021-12	7.35	405844	
2022-03	7.88	352204	
2022-06	7.24	382898	
2022-09	6.01	398042	
2022-12	6.72	355823	
2023-03	6.97	321567	
2023-06	6.26	327394	
2023-09	7.17	286277	
2023-12	6.54	283322	
2024-03	8	290294	
2024-06	8.06	279628	
2024-09	6.88	285230	
