month	ct_avg_前复权价格	人均持股
2018-11	1.34	1170	
2018-12	1.27	1452436	
2019-03	2.1	1459969	
2019-06	1.91	1467087	
2019-09	1.88	1478271	
2019-12	1.5	1483045	
2020-03	1.39	1490136	
2020-06	1.33	1501675	
2020-09	1.48	1515497	
2020-12	1.41	1527970	
2021-03	1.29	1546382	
2021-06	1.28	1561044	
2021-09	1.13	1576555	
2021-12	1.04	1584859	
2022-03	0.99	1593251	
2022-06	1.09	1599383	
2022-09	1.14	1606745	
2022-12	1.19	1612684	
2023-03	1.19	1622278	
2023-06	1.36	1637192	
2023-09	1.38	1648325	
2023-12	1.12	1658034	
2024-03	1.2	1665948	
2024-06	1.2	1675222	
2024-09	1.49	1688186	
