month	ct_avg_Tdx收盘价	ct_avg_noise_avg_Tdx收盘价
2016-12	16.2	-82.32	
2017-01	16.45	-71.65	
2017-02	18.27	-33.03	
2017-03	18.95	-7.06	
2017-04	20.84	24.16	
2017-05	21.2	45.98	
2017-06	20.46	40.38	
2017-07	21.91	64.63	
2017-08	20.67	48.52	
2017-09	22.71	64.71	
2017-10	24.55	81.25	
2017-11	21.93	55.44	
2017-12	20.34	9.52	
2018-01	20.75	0.41	
2018-02	21	-1.37	
2018-03	23.53	56.74	
2018-04	23.33	67.26	
2018-05	24.57	84.98	
2018-06	23.49	73.48	
2018-07	24.97	78.94	
2018-08	23.98	69.64	
2018-09	21.47	21.8	
2018-10	18.66	-31.3	
2018-11	18.51	-51.99	
2018-12	17.08	-71.03	
2019-01	16.31	-77.96	
2019-02	19.14	-59.88	
2019-03	21.39	-24.36	
2019-04	20.85	-13.78	
2019-05	19.04	-40.71	
2019-06	18.53	-55.59	
2019-07	19.93	-14.32	
2019-08	19.97	8.12	
2019-09	20.66	33.48	
2019-10	18.85	-7.04	
2019-11	17.76	-44.3	
2019-12	21.42	10.84	
2020-01	23.25	68.86	
2020-02	23.96	74.02	
2020-03	21.52	58.6	
2020-04	19.45	8.29	
2020-05	20.6	11.61	
2020-06	22.36	31.79	
2020-07	27.95	85.91	
2020-08	27.74	84.65	
2020-09	27.7	82.26	
2020-10	31.16	97.38	
2020-11	32.74	94.9	
2020-12	34.89	97.63	
2021-01	38.97	98.3	
2021-02	41.33	96.07	
2021-03	37.95	79.19	
2021-04	41.92	92.52	
2021-05	37.55	65.38	
2021-06	38.78	58.08	
2021-07	44.98	86.97	
2021-08	42.37	77.84	
2021-09	36.58	25.71	
2021-10	38.93	22.54	
2021-11	42.02	57.55	
2021-12	44.79	79.81	
2022-01	40.94	51.97	
2022-02	35.37	1.45	
2022-03	30.95	-36.84	
2022-04	27.08	-72.13	
2022-05	29.02	-75.23	
2022-06	29.74	-69.77	
2022-07	27.05	-87.97	
2022-08	28.3	-75.12	
2022-09	26.09	-90.95	
2022-10	27.46	-78.29	
2022-11	29.79	-39.45	
2022-12	30.6	-6.94	
2023-01	32.23	20.03	
2023-02	32.73	31.12	
2023-03	30.77	21.08	
2023-04	31.95	38.72	
2023-05	30	8.35	
2023-06	29.66	-6.03	
2023-07	31.24	12.33	
2023-08	31.68	27.52	
2023-09	31.25	26.43	
2023-10	31.4	29.04	
2023-11	30.57	-5.64	
2023-12	28.81	-60.76	
2024-01	25.74	-91.07	
2024-02	24.09	-91.45	
2024-03	25.54	-81.85	
2024-04	25.5	-80.09	
2024-05	28.29	-43.53	
2024-06	29.53	-3.9	
2024-07	30.77	16.93	
2024-08	30.91	36.36	
2024-09	30.66	39.85	
2024-10	36.55	67.56	
2024-11	36.59	75.85	
2024-12	37.97	89.45	
2025-01	37.26	83.28	
2025-02	38.22	95.89	
