month	ct_avg_前复权价格	人均持股
2007-06	1.09	2285740	
2007-09	2.25	2583183	
2007-12	2.54	2864151	
2008-03	1.91	2409524	
2008-09	0.86	2899551	
2008-12	0.54	2562661	
2009-03	0.67	2500581	
2009-06	0.84	2434528	
2009-09	0.84	2400558	
2010-03	0.81	2358867	
2010-06	0.6	2346000	
2011-06	0.53	2150500	
2012-06	0.3	2046471	
2017-05	0.34	2308229	
