month	ct_avg_Tdx收盘价	人均持股
2007-06	17.85	2285740	
2007-09	37.74	2583183	
2007-12	41.6	2864151	
2008-03	31.28	2409524	
2008-09	13.99	2899551	
2008-12	8.84	2562661	
2009-03	10.87	2500581	
2009-06	13.54	2434528	
2009-09	13.3	2400558	
2010-03	12.86	2358867	
2010-06	9.58	2346000	
2011-06	8.38	2150500	
2012-06	4.79	2046471	
2017-05	5.39	2308229	
