month	ct_avg_前复权价格	ct_avg_noise_avg_前复权价格
2004-06	1	82.06	
2004-07	0.91	59.78	
2004-08	0.91	50.33	
2004-09	1	66.23	
2004-10	1.19	91.46	
2004-11	1.28	94.4	
2004-12	1.26	89.05	
2005-01	1.18	69.73	
2005-02	1.2	65.66	
2005-03	1.28	84.08	
2005-04	1.38	91.24	
2005-05	1.21	62.45	
2005-06	1.03	3.65	
2005-07	1.02	-23.98	
2005-08	1.2	7.22	
2005-09	1.29	41.03	
2005-10	1.43	59.32	
2005-11	1.42	65.75	
2005-12	1.37	66.07	
2006-01	1.44	78.18	
2006-02	1.41	63.81	
2006-03	1.58	91.27	
2006-04	2.11	98.08	
2006-05	2.61	96.88	
2006-06	2.72	95.78	
2006-07	2.73	92.52	
2006-08	2.72	86.3	
2006-09	3.07	97.41	
2006-10	3.15	92.17	
2006-11	2.99	79.63	
2006-12	3.5	95.58	
2007-01	4	96.07	
2007-02	3.75	86.43	
2007-03	3.63	76.7	
2007-04	4.03	90.69	
2007-05	4.23	90.38	
2007-06	4.82	95.87	
2007-07	4.57	83.12	
2007-08	4.93	87.93	
2007-09	4.62	75.36	
2007-10	3.97	27.78	
2007-11	3.51	-7.99	
2007-12	4.08	-4.11	
2008-01	4.21	3.61	
2008-02	4.21	6.73	
2008-03	5	49.62	
2008-04	4.68	55.7	
2008-05	4.97	68.35	
2008-06	4.45	32.59	
2008-07	4.47	13.59	
2008-08	4.4	10.8	
2008-09	4.11	-28.48	
2008-10	4.15	-35.98	
2008-11	3.73	-61.34	
2008-12	4.69	-17.12	
2009-01	4.81	21.25	
2009-02	5.04	45.89	
2009-03	5.06	54.71	
2009-04	6.07	79.55	
2009-05	6.7	92.91	
2009-06	7.18	95.9	
2009-07	7.67	91.3	
2009-08	7.17	76.45	
2009-09	7.64	86.97	
2009-10	7.83	90.4	
2009-11	8.55	95.19	
2009-12	8.63	88.12	
2010-01	8.48	82.95	
2010-02	8.68	84.05	
2010-03	9.38	97.36	
2010-04	9.3	86.61	
2010-05	7.77	36.3	
2010-06	7.73	5.83	
2010-07	8.35	10.31	
2010-08	9.64	57.06	
2010-09	10.5	78.62	
2010-10	9.96	76.34	
2010-11	13	96.27	
2010-12	13.31	88.86	
2011-01	12.66	79.91	
2011-02	12.29	70	
2011-03	12.88	75.39	
2011-04	12.02	47.6	
2011-05	9.96	-0.13	
2011-06	9.21	-32.53	
2011-07	10.17	-23.68	
2011-08	9.11	-55.63	
2011-09	7.9	-78.32	
2011-10	7.19	-85.6	
2011-11	7.2	-85.96	
2011-12	5.92	-94.64	
2012-01	6.13	-87.56	
2012-02	6.62	-72.95	
2012-03	6.43	-69.89	
2012-04	6.1	-84.14	
2012-05	6.5	-60.8	
2012-06	6.57	-37.55	
2012-07	5.94	-75.89	
2012-08	5.57	-93.32	
2012-09	5.3	-92.68	
2012-10	5.22	-92.11	
2012-11	4.95	-98.17	
2012-12	5.04	-84.14	
2013-01	5.33	-57.63	
2013-02	5.35	-46.31	
2013-03	4.95	-77.17	
2013-04	4.79	-89.44	
2013-05	4.82	-82.59	
2013-06	4.55	-86.08	
2013-07	4.23	-92.43	
2013-08	4.51	-77.76	
2013-09	5.23	-37.41	
2013-10	5.81	11.31	
2013-11	5.15	10.29	
2013-12	4.89	-0.77	
2014-01	4.38	-47.7	
2014-02	4.62	-46.37	
2014-03	4.35	-70.37	
2014-04	4.38	-68.15	
2014-05	4.21	-76.88	
2014-06	4.05	-78.48	
2014-07	4.22	-68.79	
2014-08	4.48	-35.63	
2014-09	5.23	13.35	
2014-10	5.57	45.98	
2014-11	6.39	67.01	
2014-12	9.7	90.33	
2015-01	10.51	94.15	
2015-02	11.47	96.31	
2015-03	16.6	99.76	
2015-04	21.74	95.92	
2015-05	23.73	94.64	
2015-06	28.58	97.11	
2015-07	19.32	66.69	
2015-08	18.03	46.43	
2015-09	12.98	2.19	
2015-10	15.86	3.47	
2015-11	17.07	9.01	
2015-12	15.54	-18.9	
2016-01	11.7	-49.15	
2016-02	11.16	-54.58	
2016-03	12.03	-59.55	
2016-04	12.46	-55.8	
2016-05	10.87	-83.63	
2016-06	10.38	-87.68	
2016-07	10.85	-74.96	
2016-08	11.26	-62	
2016-09	12.54	-21.3	
2016-10	13.26	4.8	
2016-11	13.73	26.66	
2016-12	13.92	38.88	
2017-01	13.73	43.4	
2017-02	13.36	30.21	
2017-03	12.98	18.36	
2017-04	12.57	-1.79	
2017-05	12.52	-22.86	
2017-06	12.35	-37.7	
2017-07	12.12	-61.65	
2017-08	12.02	-70.54	
2017-09	11.94	-76.57	
2017-10	11.69	-90.07	
2017-11	11.17	-93.26	
2017-12	10.14	-97.02	
2018-01	9.97	-90.62	
2018-02	9	-97.2	
2018-03	9.18	-89.45	
2018-04	8.64	-98.51	
2018-05	8.54	-92.53	
2018-06	7.82	-97.46	
2018-07	7.32	-91.27	
2018-08	7.12	-95.53	
2018-09	6.94	-97.42	
2018-10	6.22	-97.67	
2018-11	6.41	-87.95	
2018-12	6.07	-97.54	
2019-01	6.38	-79.02	
2019-02	6.76	-56.49	
2019-03	8.08	-3.36	
2019-04	8.17	20.96	
2019-05	6.93	-10.62	
2019-06	6.99	-20.11	
2019-07	7.07	-4.46	
2019-08	6.55	-44.85	
2019-09	6.77	-45.89	
2019-10	6.65	-58.13	
2019-11	6.61	-61.05	
2019-12	6.67	-59.62	
2020-01	6.99	-17.41	
2020-02	6.12	-78.79	
2020-03	6	-95.21	
2020-04	5.77	-97.71	
2020-05	5.75	-93.25	
2020-06	8.87	-7.9	
2020-07	12.04	73.56	
2020-08	11.37	84.1	
2020-09	10.55	72.97	
2020-10	9.9	58.98	
2020-11	9.4	42.77	
2020-12	9.05	26.4	
2021-01	9.71	31.56	
2021-02	8.96	-1.9	
2021-03	8.86	-17.04	
2021-04	8.67	-37.8	
2021-05	8.85	-32.09	
2021-06	9.61	5.65	
2021-07	8.48	-38.84	
2021-08	8.14	-73.5	
2021-09	8.47	-61.43	
2021-10	8.16	-73.22	
2021-11	8.44	-62.95	
2021-12	8.33	-67.74	
2022-01	8.39	-43.66	
2022-02	8.38	-53.35	
2022-03	8.59	-21.12	
2022-04	9.25	33.55	
2022-05	9.15	45.96	
2022-06	9.59	65.43	
2022-07	9.78	76.96	
2022-08	8.92	39.64	
2022-09	8.41	-7.02	
2022-10	7.86	-34.26	
2022-11	7.9	-45.33	
2022-12	9.32	-0.45	
2023-01	9.06	23.66	
2023-02	9.18	40.8	
2023-03	9.54	53.18	
2023-04	13.21	77.96	
2023-05	15.9	90.98	
2023-06	16.6	93.04	
2023-07	15.18	76.28	
2023-08	15.13	71.7	
2023-09	16.46	84.87	
2023-10	14.83	58.72	
2023-11	14.18	30.96	
2023-12	13.68	3.66	
2024-01	13.08	-17.41	
2024-02	14.15	-4.15	
2024-03	15.93	38.56	
2024-04	15.44	43.66	
2024-05	15	35.98	
2024-06	14.54	9.78	
2024-07	13.91	-31.83	
2024-08	14.38	-27.96	
2024-09	16.14	36.42	
2024-10	19.94	82.84	
2024-11	22.46	95.75	
2024-12	26.16	95.9	
2025-01	23.87	81.74	
2025-02	23.79	75	
