month	ct_avg_Tdx收盘价	股东人数
2002-06	12.67	28115	
2002-09	12.14	30732	
2002-12	10.08	30401	
2003-03	10.03	30594	
2003-06	9.88	28201	
2003-09	9.69	27167	
2003-12	8.19	25823	
2004-03	10.75	22183	
2004-06	10.58	20641	
2004-09	10.73	15525	
2004-12	12.87	11636	
2005-03	12.2	12031	
2005-06	7.68	14857	
2005-09	7.92	16753	
2005-12	6.49	16086	
2006-03	6.64	15056	
2006-06	8.22	15185	
2006-09	9.83	17355	
2006-12	10.99	13651	
2007-03	17.23	24754	
2007-06	24.95	13006	
2007-09	30.68	22588	
2007-12	24.9	28824	
2008-03	25.91	29183	
2008-06	22.42	24221	
2008-09	10.63	25981	
2008-12	11.13	25414	
2009-03	14.06	39792	
2009-06	15.91	28845	
2009-09	17.23	24364	
2009-12	22.77	22515	
2010-03	19.69	46188	
2010-06	13.87	58121	
2010-09	14.57	63380	
2010-12	14.82	60195	
2011-03	16.74	44794	
2011-06	15.88	43071	
2011-09	10.14	49660	
2011-12	8.78	47513	
2012-03	9.08	50946	
2012-06	7.74	52011	
2012-09	6.53	55199	
2012-12	6.92	50821	
2013-03	8.19	54115	
2013-06	6.41	60555	
2013-09	6.16	60571	
2013-12	7.04	53857	
2014-03	6.12	59650	
2014-06	7	55559	
2014-09	8.5	56330	
2014-12	10.44	56167	
2015-03	11.64	58610	
2015-06	18.7	70923	
2015-09	12.21	56384	
2015-12	14.4	53124	
2016-03	11.97	54189	
2016-06	10.66	51476	
2016-09	10.76	41561	
2016-12	12.52	36756	
2017-02	13.87	36952	
2017-03	13.27	38410	
2017-06	11.99	35184	
2017-09	11.97	33552	
2017-12	14.64	36748	
2018-03	17.03	41120	
2018-06	18.4	39812	
2018-09	16.01	45999	
2018-12	12.71	59403	
2019-03	14.54	68262	
2019-06	14.2	57932	
2019-09	16.9	43713	
2019-12	17.97	34202	
2020-03	16.4	47384	
2020-06	18.52	36909	
2020-09	25.52	28741	
2020-12	35.84	27387	
2021-03	37.45	34052	
2021-06	32.43	54105	
2021-09	36.69	71262	
2021-12	31.49	74210	
2022-03	33.47	57925	
2022-06	29.51	73104	
2022-09	29.35	57378	
2022-12	32.32	41335	
2023-03	34.75	38189	
2023-06	30.37	39897	
2023-09	33.03	35533	
2023-12	27.71	41482	
2024-03	25.9	43721	
2024-06	27.67	43329	
2024-09	21.68	52316	
