month	ct_avg_Tdx收盘价	人均持股
2021-11	131.22	1356	
2021-12	126.16	4746	
2022-03	93.47	5066	
2022-06	91.02	5817	
2022-09	108.42	5984	
2022-12	79.85	7772	
2023-03	91.83	5915	
2023-06	118.19	7298	
2023-09	108.62	9409	
2023-12	106.88	9069	
2024-01	92.33	8233	
2024-03	91.82	6897	
2024-06	82.7	7625	
2024-09	83.87	9006	
